year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, NorESM2-LM, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM
1.870000000000000000e+03, 2.660679825775769791e-11, 1.188413595060365764e-11, 1.418479255667900245e-11, 9.956612903835726952e-12, 8.163000107094591506e-12, 2.768748067564829903e-13, 3.029527232570718787e-12, 1.281517899072255526e-11, 2.445773624971138695e-14, 1.494470836539044604e-11
1.871000000000000000e+03, 3.554111003637568285e-11, 1.178517284604352322e-11, 1.856439106726723214e-11, 1.366362993228408499e-11, 7.966425206921130519e-12, 4.885906191358386541e-13, 3.589425695250590977e-12, 1.466921192129608813e-11, 3.296432239507103647e-14, 2.010058650180298199e-11
1.872000000000000000e+03, 3.465716261452274863e-11, 1.206239686530066572e-11, 1.907107572384830762e-11, 1.368841848997559192e-11, 8.353184782272379374e-12, 5.677046869072143973e-13, 3.670084712353093392e-12, 1.503126181519024151e-11, 3.320180370875441877e-14, 2.089123929450499047e-11
1.873000000000000000e+03, 3.657505308132864204e-11, 1.208360428165011447e-11, 1.944779020768533708e-11, 1.439475119104280296e-11, 7.911572535582619810e-12, 4.598616305334805973e-13, 3.668199469319570354e-12, 1.545645466757979602e-11, 2.504502169301549314e-14, 2.096942568128431262e-11
1.874000000000000000e+03, 3.462150984950238289e-11, 1.209492990128974864e-11, 1.967279555767710991e-11, 1.389987343655371688e-11, 7.808898136455480218e-12, 4.201012477784714744e-13, 3.645783879238094661e-12, 1.575974008773651196e-11, 2.571673368087678518e-14, 2.092892090445105540e-11
1.875000000000000000e+03, 3.406532597773388918e-11, 1.259387771286456607e-11, 1.979166993144037713e-11, 1.435861853331525655e-11, 8.439736531205728025e-12, 5.862184382934955268e-13, 3.684508525457323821e-12, 1.583528854368064349e-11, 2.515048720916378642e-14, 2.144694043983254850e-11
1.876000000000000000e+03, 3.291815468528462384e-11, 1.238129209751206816e-11, 2.005820268673374139e-11, 1.508518130680447182e-11, 8.192605802338681691e-12, 6.332471801491920811e-13, 3.815613809970706572e-12, 1.631628464296927244e-11, 2.919963568837167010e-14, 2.126038111445290008e-11
1.877000000000000000e+03, 3.410451425733719915e-11, 1.238833540630128972e-11, 2.022910706635930035e-11, 1.458251455970530572e-11, 8.353388193291445662e-12, 5.918787895816810990e-13, 3.769781561148164545e-12, 1.634742159734171126e-11, 2.889517111175996950e-14, 2.077772055974284906e-11
1.878000000000000000e+03, 3.526520240596527862e-11, 1.263893595032315534e-11, 2.027892306833606128e-11, 1.448028977072841484e-11, 8.044866366350620819e-12, 5.994978480880974150e-13, 3.757242349709567109e-12, 1.672404442977744224e-11, 3.799451712943406811e-14, 2.175322446133687322e-11
1.879000000000000000e+03, 3.367310861475906993e-11, 1.259015916710542466e-11, 2.023425592838747053e-11, 1.506040367650014579e-11, 8.157084419157649530e-12, 6.160010465411652721e-13, 3.761030751125621368e-12, 1.670463237697346618e-11, 3.467321336372523570e-14, 2.146800453724416208e-11
1.880000000000000000e+03, 3.684335173345558311e-11, 1.884997991558567527e-11, 2.018635484346393978e-11, 1.488132005935577045e-11, 1.193483639927732486e-11, 6.586459453401866777e-13, 3.962777979008818804e-12, 1.676568939245593215e-11, 6.561363228178843600e-14, 2.208831217237618033e-11
1.881000000000000000e+03, 6.180126042635654610e-11, 1.958237818039118091e-11, 2.890346331029442509e-11, 1.990443519133022792e-11, 1.226640313397131063e-11, 4.576424230735909088e-13, 4.126767199688383326e-12, 1.832363986909254384e-11, 3.111641321277910209e-13, 3.077859169490988007e-11
1.882000000000000000e+03, 5.568041487088037864e-11, 1.989253918142272293e-11, 2.978329107659625201e-11, 2.073404747608476361e-11, 1.236886066063941013e-11, 4.605113221352720762e-13, 4.173902937819629269e-12, 1.846376390483858159e-11, 3.855156424774954831e-13, 3.139367393665151879e-11
1.883000000000000000e+03, 5.665112305083759790e-11, 2.033350877747807111e-11, 3.026873271909671607e-11, 2.055940676953753076e-11, 1.250091150806802399e-11, 4.189477913385528696e-13, 4.277068156187302311e-12, 1.814603376330284111e-11, 5.264620971864219483e-13, 3.113303914557001313e-11
1.884000000000000000e+03, 6.222884066227974418e-11, 2.077129593714826268e-11, 3.029843037535843173e-11, 2.105172050699105808e-11, 1.284906224151531388e-11, 5.572334103966335773e-13, 4.292204583637068609e-12, 1.840731234236295361e-11, 5.675659133986281735e-13, 3.279142380702718871e-11
1.885000000000000000e+03, 6.431559657177257950e-11, 2.098870473585722489e-11, 3.067312854651570902e-11, 2.113038484801801694e-11, 1.315305493914320964e-11, 4.343421014282314781e-13, 4.263131058828460339e-12, 1.877503011740866776e-11, 5.763003970643091537e-13, 3.416193879447973531e-11
1.886000000000000000e+03, 6.071833819754560177e-11, 2.148317839145983115e-11, 3.055989473996155062e-11, 2.241119842854829420e-11, 1.348903077314063245e-11, 4.789926772047736781e-13, 4.303223044831000918e-12, 1.911307627616540242e-11, 6.544924304343505003e-13, 3.335240860051424871e-11
1.887000000000000000e+03, 5.948609846100551633e-11, 2.164935530176481596e-11, 3.082193739111084930e-11, 2.247971044397445332e-11, 1.319284517135927471e-11, 4.434855812871666682e-13, 4.321933028195954137e-12, 1.938434807370011030e-11, 6.900829051415370699e-13, 3.338527212886540611e-11
1.888000000000000000e+03, 5.774650756585987263e-11, 2.156749036114950934e-11, 3.100092991040803883e-11, 2.255538285227224535e-11, 1.314821464840967220e-11, 4.325346379598309617e-13, 4.328258210105376099e-12, 1.954463567266596706e-11, 6.591757354911452197e-13, 3.489082400792097092e-11
1.889000000000000000e+03, 5.999034522806845800e-11, 2.174668090156219127e-11, 3.139861148406536645e-11, 2.186119039034444501e-11, 1.333213267140622173e-11, 4.933318660750738441e-13, 4.316351178288846439e-12, 1.992124399137901534e-11, 4.501521988874597094e-13, 3.455123606964746598e-11
1.890000000000000000e+03, 5.948793903268118110e-11, 2.972199852954425032e-11, 3.182219869224098033e-11, 2.345725592804957644e-11, 1.784590164809829831e-11, 4.161267249181262271e-13, 6.272977332994405236e-12, 2.007566254441721462e-11, 6.297729985651028236e-13, 3.647185397144358806e-11
1.891000000000000000e+03, 7.370365151702368007e-11, 2.958425187421538279e-11, 4.185612146183842798e-11, 3.015131636144765574e-11, 1.828736685948270086e-11, 8.438050321191027516e-13, 7.554677261943616743e-12, 2.656362153377950997e-11, 8.103565928631513572e-13, 4.487520207307188850e-11
1.892000000000000000e+03, 7.992982056288054985e-11, 3.004703974662260321e-11, 4.286506069869713714e-11, 3.101279454471067493e-11, 1.863742312858578691e-11, 1.512829041257314226e-12, 7.859768573522391002e-12, 2.677737834679552554e-11, 5.052101161624671574e-13, 4.536601821416025567e-11
1.893000000000000000e+03, 7.672580432167962932e-11, 3.058735075522830346e-11, 4.357316007343933045e-11, 3.163920025398427907e-11, 1.877893542684016721e-11, 1.799413818806240291e-12, 8.019771655685106539e-12, 2.707683887293441058e-11, 1.159392390468611809e-12, 4.547453014939238918e-11
1.894000000000000000e+03, 7.312649955323657760e-11, 3.121612230133607500e-11, 4.403495274266672708e-11, 3.297332738030669575e-11, 1.880890762117912948e-11, 1.845776516570894909e-12, 8.104273948543018304e-12, 2.763419874792221723e-11, 1.737621829644221568e-12, 4.739944088434040748e-11
1.895000000000000000e+03, 7.707801848179435926e-11, 3.103819287404225560e-11, 4.380457774894040854e-11, 3.390994517437237727e-11, 1.885627251076271536e-11, 1.695187566675867212e-12, 8.262806838080200355e-12, 2.848668435223016661e-11, 1.636721541191477859e-12, 5.013797034963074188e-11
1.896000000000000000e+03, 7.849858545815143483e-11, 3.177025634050085645e-11, 4.395006411275739553e-11, 3.416000086939321102e-11, 1.874758390436667777e-11, 3.322422792737594838e-12, 8.411062038535532659e-12, 2.912741417961237663e-11, 1.058342965625915338e-12, 4.776649592373080702e-11
1.897000000000000000e+03, 7.459611026848742998e-11, 3.218257213554280775e-11, 4.434544139309275685e-11, 3.441464500277990859e-11, 1.799445318470921999e-11, 5.444002555639772836e-12, 8.483235354324194342e-12, 2.967368275414604977e-11, 6.017326530337440843e-13, 4.857899899852242190e-11
1.898000000000000000e+03, 7.759533888908049516e-11, 3.136162718244370979e-11, 4.464616420128601187e-11, 3.415398614834432869e-11, 1.872005515920491971e-11, 5.521965707751636837e-12, 8.476988631617191480e-12, 2.988125577332445179e-11, 4.558171489279049013e-13, 4.792231750910541464e-11
1.899000000000000000e+03, 7.489165444512308812e-11, 3.135759302584352188e-11, 4.428663234932611198e-11, 3.551183812959810558e-11, 1.955901437057552276e-11, 5.854158138710261670e-12, 8.548271732160171179e-12, 3.045548010533366287e-11, 3.937465030391468558e-13, 4.880509975503198602e-11
1.900000000000000000e+03, 7.818263932891809544e-11, 3.280580529870632148e-11, 4.443197536623518375e-11, 3.480383937666684901e-11, 1.997418994412517599e-11, 8.998987990406351445e-12, 9.501090454647556798e-12, 3.099221430256050823e-11, 3.624061028955476407e-13, 5.436272205615695692e-11
1.901000000000000000e+03, 8.546031429879670934e-11, 3.291110137479850334e-11, 4.639048874204759571e-11, 3.713933417637868534e-11, 1.993660577558816802e-11, 9.812106568386293490e-12, 9.907926295869797996e-12, 3.269207022026609159e-11, 3.742418145117424933e-13, 5.196113549633579698e-11
1.902000000000000000e+03, 8.688867175658891421e-11, 3.396011723091691068e-11, 4.681237078255654736e-11, 3.801772896360346744e-11, 1.907274891691586499e-11, 1.031569539460071217e-11, 9.875411109349072813e-12, 3.224844634907023111e-11, 4.384593965590947934e-13, 5.215752605787105241e-11
1.903000000000000000e+03, 8.665988128371239413e-11, 3.366755954414075673e-11, 4.754504175651693168e-11, 3.904892261895321065e-11, 1.894034891666565607e-11, 1.103354873371214777e-11, 9.998371424260552586e-12, 3.208952959727673629e-11, 4.121234119289143494e-13, 5.320999375504578324e-11
1.904000000000000000e+03, 9.424695032715558803e-11, 3.297327964916457508e-11, 4.755556747631636388e-11, 4.026242736172505154e-11, 2.011804646390293090e-11, 1.072147607096839220e-11, 1.010607123808923399e-11, 3.159816815826326632e-11, 3.863506549540184001e-13, 5.642432003569908287e-11
1.905000000000000000e+03, 1.001976523431674080e-10, 3.307740960586255321e-11, 4.725420050535140278e-11, 3.860250472478172635e-11, 2.054736231021280029e-11, 1.211955384487145455e-11, 1.002696991360623450e-11, 3.171016275983409002e-11, 3.502159432900033944e-13, 5.568429742806679500e-11
1.906000000000000000e+03, 9.365904172964124390e-11, 3.320447364742833573e-11, 4.794820130638816597e-11, 3.733249954140140468e-11, 2.051141725693662462e-11, 1.458874027760126861e-11, 1.014131018799762572e-11, 3.201385476914802117e-11, 3.376399634529450254e-13, 5.722346278465071963e-11
1.907000000000000000e+03, 8.505575986868596619e-11, 3.372543938009822206e-11, 4.792973863909617517e-11, 3.841633003291903799e-11, 1.959187641391194144e-11, 1.615875215389203424e-11, 1.018219533459936689e-11, 3.228975698658825613e-11, 2.978111601250645321e-13, 5.571561897102538206e-11
1.908000000000000000e+03, 8.751587109356193354e-11, 3.352647579683403803e-11, 4.851434484302173131e-11, 4.017216903238273834e-11, 1.983192522469112232e-11, 1.754624831242798088e-11, 1.036731293975898083e-11, 3.257696895361648097e-11, 2.850858185342196172e-13, 5.876164162366888479e-11
1.909000000000000000e+03, 8.150676461513633061e-11, 3.376988166471151507e-11, 4.902746646665559231e-11, 4.295992366530986496e-11, 2.063038502727233871e-11, 1.894367145102311521e-11, 1.045896283732530305e-11, 3.270767927208488124e-11, 3.095030753147475766e-13, 5.590177974848620493e-11
1.910000000000000000e+03, 8.281438343865389145e-11, 4.249435661382136847e-11, 4.923601409470255349e-11, 4.051515569287646066e-11, 2.522746935121965617e-11, 1.893405183110695322e-11, 1.241352503105145209e-11, 3.261412051792305372e-11, 4.015282895790376676e-13, 5.688915906299605529e-11
1.911000000000000000e+03, 1.069584697492139024e-10, 4.255271127485638063e-11, 6.281719325074252011e-11, 5.365731976437062582e-11, 2.667923885028696086e-11, 2.611171668660159970e-11, 1.359989500019089877e-11, 3.814073620414660667e-11, 5.257482811944781002e-13, 6.790878079189084656e-11
1.912000000000000000e+03, 1.092191740073899283e-10, 4.364108070908920039e-11, 6.350348499754926013e-11, 5.312153852310876968e-11, 2.663021462014521854e-11, 2.717467422098309238e-11, 1.381684508330935966e-11, 3.866528125488388328e-11, 5.725468121642939148e-13, 7.246695667368569213e-11
1.913000000000000000e+03, 9.971359424960983192e-11, 4.463768948174919796e-11, 6.442784697415186788e-11, 5.506639409349703513e-11, 2.499409436148612565e-11, 2.794506972059995252e-11, 1.396290286198140889e-11, 3.747141742503741782e-11, 5.643337715305909886e-13, 7.469720441389919312e-11
1.914000000000000000e+03, 1.049758395258977725e-10, 4.436155171413884625e-11, 6.552051855486687300e-11, 5.330026531233053012e-11, 2.764994928799811270e-11, 2.895358312179343162e-11, 1.419875284846171779e-11, 3.741610594686909016e-11, 5.803925452331477307e-13, 7.425062307598042297e-11
1.915000000000000000e+03, 1.151896986880550619e-10, 4.472766648668817977e-11, 6.620560498699177000e-11, 5.372409450407426328e-11, 2.865130784009691918e-11, 2.914564461818688128e-11, 1.425193325690699578e-11, 3.796232767316886540e-11, 5.947638312800231347e-13, 7.393050961408728040e-11
1.916000000000000000e+03, 1.167788570184495032e-10, 4.460617771534298742e-11, 6.682034402826588587e-11, 5.828367635300671329e-11, 2.746637752607585353e-11, 3.100895496423646728e-11, 1.419588615572890773e-11, 3.830674096270767419e-11, 5.889876215542375317e-13, 7.789147712789682606e-11
1.917000000000000000e+03, 1.070697319590577508e-10, 4.431897242621872695e-11, 6.756377773667119473e-11, 5.906541797421417014e-11, 2.687944715813523500e-11, 3.216452981238518745e-11, 1.428173102469750207e-11, 3.851423305959570598e-11, 6.135504296987131254e-13, 7.842329246251504047e-11
1.918000000000000000e+03, 1.103057907053459858e-10, 4.554518113036989160e-11, 6.833657081560112189e-11, 5.794971354214948275e-11, 2.786920767124176509e-11, 3.361372406212640012e-11, 1.461313893155208820e-11, 3.901400192004670543e-11, 6.135725753851685459e-13, 7.586997445256294989e-11
1.919000000000000000e+03, 1.087168327539037005e-10, 4.637238245187373954e-11, 6.875260916318499776e-11, 5.811519379043338465e-11, 2.860387286419530607e-11, 3.496068586413910299e-11, 1.498545824025617270e-11, 3.869702185471554755e-11, 6.023924973958948253e-13, 7.395167988488588926e-11
1.920000000000000000e+03, 1.058287037322244066e-10, 4.940572823068434553e-11, 6.971398039877602594e-11, 6.409088334836991414e-11, 3.044162884100414139e-11, 3.636958131708354163e-11, 1.612030015024456634e-11, 3.894135099472731938e-11, 6.395228588204193432e-13, 7.601491972063123916e-11
1.921000000000000000e+03, 1.166118926302805091e-10, 5.125844146362783560e-11, 7.695269766739893125e-11, 6.314680491556230168e-11, 2.974244617381172897e-11, 4.459027936122400014e-11, 1.695885814571196077e-11, 4.205606898051851401e-11, 6.925507897617386461e-13, 8.628165142181775623e-11
1.922000000000000000e+03, 1.232064598771122699e-10, 5.207934093473755991e-11, 7.752693308065061019e-11, 6.222691516020128164e-11, 2.981242387964488018e-11, 4.777486874283574475e-11, 1.722408011332683883e-11, 4.230315317328452490e-11, 7.173922492880734773e-13, 8.695251688211866522e-11
1.923000000000000000e+03, 1.285427961577528954e-10, 5.039621605982868287e-11, 7.818412830120520560e-11, 6.581210544737444045e-11, 3.248075621186953536e-11, 5.065767850457651591e-11, 1.739341743113723277e-11, 4.235216655799657439e-11, 7.176387236822258875e-13, 9.443804618584182365e-11
