year, UKESM1-0-LL, INM-CM4-8, CanESM5, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5
1.874000000000000000e+03, 1.489647900539847747e+00, 2.304100109211034475e+00, 2.357735425591607203e+00, 1.106756016948182930e+00, 2.064125161189653834e+00, 2.273264782280758567e+00, 1.518465568347263206e+00, 2.198955625752335497e+00, 1.771722588667419496e+00, 2.696129779625544121e+00, 1.494479806342430939e+00, 1.819493139542859517e+00, 1.534490670770318754e+00, 1.283093731480430488e+00, 1.481614064425688326e+00, 2.460506367420346674e+00
1.875000000000000000e+03, 1.451949874178098510e+00, 1.962180624586393973e+00, 2.299312465250824111e+00, 1.209098023678752298e+00, 2.384157041059317361e+00, 1.896315423470732009e+00, 2.027678432473926762e+00, 1.835149311291143892e+00, 1.559584238298034498e+00, 1.629292539746403534e+00, 1.357167059418402433e+00, 1.930761817873141828e+00, 1.331704025602487684e+00, 1.327211315943920278e+00, 1.499171148368122264e+00, 2.052485710735460156e+00
1.876000000000000000e+03, 1.729069308525203130e+00, 2.580625036778430026e+00, 1.593483584636358419e+00, 9.297041459747011904e-01, 2.122968762510120566e+00, 2.069844756385620599e+00, 1.957597317115730151e+00, 1.653051824617697729e+00, 1.703670624501259834e+00, 2.021841742212576509e+00, 1.562960283456805044e+00, 2.482033254677468381e+00, 1.785146592447240721e+00, 2.136967786922625123e+00, 1.128732705540594017e+00, 2.606918127687665176e+00
1.877000000000000000e+03, 1.039595296878233599e+00, 2.065831304314649230e+00, 2.525616644279985223e+00, 9.608500921844400633e-01, 1.835293981752178727e+00, 2.418038829425267711e+00, 1.616407944486218273e+00, 1.730648624755443121e+00, 1.362649923858363588e+00, 1.655462450854352507e+00, 1.713582396573056110e+00, 1.762753335388665299e+00, 1.414602645565012251e+00, 1.533391029691444807e+00, 1.150002266473969303e+00, 2.229068605953835824e+00
1.878000000000000000e+03, 1.384646599903245123e+00, 2.377426588084842862e+00, 1.368127172668308855e+00, 7.907934094967508099e-01, 2.524841411910154321e+00, 2.194678308646512033e+00, 1.486515470623901436e+00, 1.982363584706260173e+00, 2.189370210696423680e+00, 2.089517739038036392e+00, 1.489881985439496015e+00, 1.854599639353093021e+00, 1.535446528269940769e+00, 2.203951958936171796e+00, 1.092712913924640983e+00, 2.414732592195414806e+00
1.879000000000000000e+03, 1.626947952375548123e+00, 2.467386873000325664e+00, 1.894981640538761836e+00, 1.056595920758964358e+00, 2.861150916460970084e+00, 2.355401736154980608e+00, 1.359683297899239918e+00, 1.970461311657633940e+00, 1.553572135379451158e+00, 1.797529315699640140e+00, 2.037793325655764320e+00, 2.222981678174777542e+00, 1.317631709837119969e+00, 1.719909603383393826e+00, 1.365033899334043621e+00, 2.356622761834291868e+00
1.880000000000000000e+03, 2.128817788069280681e+00, 1.883128411256603796e+00, 1.580458083155442672e+00, 7.173538960681278276e-01, 1.856022962074298732e+00, 1.959157992368361301e+00, 2.479150919786416107e+00, 2.494097129292861759e+00, 2.058911365529247028e+00, 1.634423188014123784e+00, 1.810677038316901077e+00, 2.008770434712620734e+00, 1.013604331002162073e+00, 1.819816620021153408e+00, 1.450930249136038519e+00, 2.483699081137111353e+00
1.881000000000000000e+03, 1.200770477205536091e+00, 2.542231469156796209e+00, 1.843707622585287975e+00, 1.049208139990608135e+00, 2.063752985318541899e+00, 2.138729212229455889e+00, 2.693150670906384825e+00, 2.466511485122586667e+00, 1.578098833145778368e+00, 1.797103765425342559e+00, 1.697189288718391253e+00, 2.317709236509680526e+00, 1.407875664654985925e+00, 1.665440865892177769e+00, 9.809716856251642358e-01, 1.828962994865047431e+00
1.882000000000000000e+03, 1.325647955946105849e+00, 1.964599742129462534e+00, 1.674428072965716163e+00, 1.414190421727264502e+00, 2.232061250519957074e+00, 1.930505678264483160e+00, 1.618988721748882087e+00, 1.394816239448820605e+00, 1.582987497934845722e+00, 2.370145143814668121e+00, 1.686098433233907956e+00, 2.268352169810912589e+00, 1.636643919186105745e+00, 1.866135042197631044e+00, 9.705034348005238121e-01, 1.938317889874075384e+00
1.883000000000000000e+03, 1.536039409788966692e+00, 2.067923478546814575e+00, 1.427625878292431150e+00, 1.152813147256484205e+00, 2.379482124150897882e+00, 2.063477946952539277e+00, 1.102315777842042266e+00, 2.095283473558323450e+00, 2.504643511391488886e+00, 2.201768285813298753e+00, 1.909010504681846410e+00, 1.852277334677786325e+00, 1.616159159848371996e+00, 1.915890307064487263e+00, 1.572210748077784714e+00, 2.888351480938624150e+00
1.884000000000000000e+03, 1.549987272629827384e+00, 2.030383737884969619e+00, 1.673973459842287737e+00, 1.000383464407336609e+00, 2.600731576089072572e+00, 2.223162475588364551e+00, 1.533096109550108332e+00, 1.849094276176423524e+00, 2.207966753868853882e+00, 1.706576425752545756e+00, 1.807820014199830183e+00, 2.184494663586358687e+00, 1.238382041264309397e+00, 1.841773721230312688e+00, 1.466701767444353433e+00, 2.296439802327659319e+00
1.885000000000000000e+03, 1.466741909988775960e+00, 2.227311274727616031e+00, 1.774075848380643361e+00, 1.224401102142210096e+00, 2.246717889357397357e+00, 2.223628885777809483e+00, 1.434199687720733030e+00, 2.319502335209249644e+00, 2.002950020033607448e+00, 1.987698401771258006e+00, 1.625686906514626884e+00, 2.044441640737609589e+00, 1.113020165737887535e+00, 2.158476814066934146e+00, 9.824326178633814299e-01, 2.148558154494338179e+00
1.886000000000000000e+03, 1.491029425149961396e+00, 2.743236208341926385e+00, 2.156244225040894413e+00, 1.192949318047604734e+00, 2.429436286439477399e+00, 2.366346749494395940e+00, 1.679510225869198514e+00, 2.778185236106064160e+00, 2.263726725954668062e+00, 1.820832019238889155e+00, 1.532383116380539256e+00, 1.852929076461904856e+00, 1.782706470294420864e+00, 1.545656299858086058e+00, 1.248381892863959619e+00, 1.673204288687407448e+00
1.887000000000000000e+03, 1.323937419527182691e+00, 2.500262504151357312e+00, 1.939592449450754152e+00, 9.735097072705399812e-01, 2.553386199347632779e+00, 2.490649091326836650e+00, 1.811910238415809227e+00, 1.778529786575756777e+00, 1.827323216776915560e+00, 1.934086766982120009e+00, 1.509490374416249781e+00, 2.535215220118345325e+00, 1.897487903991070590e+00, 1.539937065772629454e+00, 9.688278744281642041e-01, 2.851671878542888283e+00
1.888000000000000000e+03, 9.722239361428436366e-01, 2.281915568451584608e+00, 1.938742258272877050e+00, 9.646652666782865593e-01, 2.426423731048263921e+00, 2.332624596270025830e+00, 2.536835876629451647e+00, 1.350305619276283897e+00, 1.547959393526910477e+00, 1.743447604857770727e+00, 1.580281937491162525e+00, 2.278675744099969869e+00, 9.724920084421151412e-01, 1.728414007031814359e+00, 1.332600199240526972e+00, 3.093597816379426213e+00
1.889000000000000000e+03, 1.260522654090566741e+00, 2.562183421702086683e+00, 2.154682206331008043e+00, 8.878834056826024890e-01, 2.679873478915308471e+00, 2.097647918013866519e+00, 2.544545875958707182e+00, 2.392200278448695538e+00, 1.815224586933578355e+00, 1.753369024789073416e+00, 1.554610104143640426e+00, 1.833862238848972703e+00, 1.796450909543603203e+00, 1.529350067353293596e+00, 1.545668574513493709e+00, 2.805462768845662591e+00
1.890000000000000000e+03, 1.372274145903789266e+00, 2.454460515350719074e+00, 1.779693783901906023e+00, 6.121050703980202012e-01, 2.154954690568051667e+00, 2.441627868697173742e+00, 1.570007941144281771e+00, 2.264737626689393934e+00, 1.776651177739374754e+00, 1.740408964090945476e+00, 1.524816101326870177e+00, 1.902007556251108955e+00, 1.768263778097238337e+00, 1.333560003200255695e+00, 1.000336191576057354e+00, 2.786687052954258892e+00
1.891000000000000000e+03, 8.603728429578243464e-01, 2.205841258621959344e+00, 2.117239139252887092e+00, 1.065166811153547055e+00, 1.916158964003918941e+00, 2.181459180459576430e+00, 1.838633604045635028e+00, 2.063467899455418308e+00, 1.843425796902410818e+00, 2.094930513080427215e+00, 2.062228307605987521e+00, 2.442601582949400107e+00, 1.800211357273161283e+00, 2.688474489951111046e+00, 1.566674269558266497e+00, 2.544824220223908640e+00
