year, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM
1.878000000000000000e+03, 3.670737775201371223e-10, -6.557516581689166898e-10, -2.705000029010665926e-10, -2.572614399396013425e-10, -6.589376234604379703e-10, -6.997524454686734749e-11, -2.899082903357585742e-11, -2.177709556696802573e-10
1.879000000000000000e+03, -1.065011865630955960e-09, 3.741277835140175269e-10, -3.332414841675478449e-10, -1.422868922585142917e-09, 1.644279187145448192e-10, -2.285286854934253798e-10, 5.879705425616659782e-10, -5.195920032730752861e-10
1.880000000000000000e+03, 2.072884690266872544e-10, 6.660450168440602235e-10, 1.629593350273536828e-09, -6.141287927860765640e-10, -6.145623507854351025e-10, -1.386305664791350480e-09, -2.776666932792025178e-10, 6.175105245830707094e-10
1.881000000000000000e+03, -7.793846603139640816e-10, -1.045629195386063668e-09, -5.155295242273248314e-10, -9.242951540901015633e-10, -2.032324106263587511e-10, -1.436313718517347670e-10, 5.157589755398696316e-10, 6.758409424262344374e-10
1.882000000000000000e+03, 1.382773594015144454e-09, -4.776292064552598947e-10, -4.100173905661243261e-10, -3.875269082390102744e-10, 1.902554521164904068e-09, 8.495409003090548623e-10, -5.877592238337238361e-10, -4.783416453573353158e-11
1.883000000000000000e+03, 4.240169618364483927e-10, 1.409425735512041019e-09, 1.884933665503000273e-10, -1.742790140286819232e-09, 1.358938772006184574e-10, 9.065056776028833110e-10, -7.140250523623629353e-11, -1.308926510236864938e-09
1.884000000000000000e+03, -1.528287613131499010e-09, 3.836199974512264884e-10, 4.995555224000175825e-10, -2.991248385380880304e-10, -1.323812319714957435e-10, -6.494630945511805710e-10, 6.104469992856683001e-11, -1.493322913780535162e-10
1.885000000000000000e+03, -1.086062407305361603e-09, -6.259801255903510297e-10, -1.346447958706461575e-10, -6.145978891009066179e-10, -2.642297945874147694e-11, -7.556757586206188943e-10, -1.891814980914576042e-11, -7.278772499070178942e-10
1.886000000000000000e+03, -7.686895943138056174e-10, 2.339348354045085542e-10, 1.338493471019364586e-11, 6.725573484218012073e-10, 9.080465402778171655e-10, 1.458633005396273698e-09, 6.514486134946174074e-10, 5.005704922331336787e-10
1.887000000000000000e+03, 1.814392890020872484e-09, -6.600266914988670734e-10, -1.692027660531224971e-10, 1.123434567466171875e-09, -4.418248325120458696e-10, 1.110543078225774765e-09, 2.923781731142874882e-10, -5.823044422074777712e-11
1.888000000000000000e+03, 8.727257992787980254e-10, -1.310932661274434793e-10, -1.191007186367789028e-09, 1.117387635656761260e-09, -3.354277986522607034e-11, -2.334474318743988605e-09, 1.107343491603433896e-10, 5.626027537374489715e-10
1.889000000000000000e+03, -3.997053643523071260e-10, 6.951863436204216690e-10, -5.071308191865379898e-10, 3.898462386276077958e-10, -5.699950778658434134e-10, 9.492137113573629119e-10, 4.568958182838239145e-10, 4.555928981328657627e-10
1.890000000000000000e+03, -1.540024118316306095e-09, -7.672389704796613495e-10, 3.221615895848005196e-10, -3.702103482143964010e-10, -1.236793270397308408e-09, 1.021731380168872119e-09, 5.025413872822812356e-10, -2.362767819451826382e-10
1.891000000000000000e+03, 4.445204204718507858e-11, 1.040994865461246456e-09, -1.980411422190393191e-09, -1.398211922529612452e-10, -6.658751592962579248e-10, 4.673834928380432700e-10, 2.685565640252644821e-10, -4.530157825121804235e-10
1.892000000000000000e+03, 1.037034079413778199e-09, 6.458825741615649136e-10, -4.159830479400988851e-10, 4.793378792754904797e-10, 4.851577864054163237e-10, -1.496724909765490710e-09, -1.023350572826438974e-09, 5.411523295693147408e-10
1.893000000000000000e+03, -5.715629582338635045e-10, -7.618222572418731589e-10, 1.072387733837945446e-09, 3.796912919690685687e-10, -6.519051769385806782e-10, -1.150664453311052212e-09, -7.981430941491458201e-10, -1.059353540725768702e-10
1.894000000000000000e+03, -1.777284963641247462e-09, -5.048095769794374218e-10, 2.065722430835661876e-12, 1.330145208210551460e-09, 5.233003293205825522e-10, -3.531233939427924980e-10, -6.455483333332257776e-11, -6.850358034878630419e-10
1.895000000000000000e+03, 3.243416164829234515e-11, -3.085238455296527946e-10, -4.540692469085142770e-11, 8.658198547431892570e-10, 1.215401893850388753e-09, -4.884960783322548168e-10, -1.997219350373392901e-10, -8.421382097198489322e-11
1.896000000000000000e+03, 1.991752073815647051e-09, 8.408658252091386856e-10, -9.537156165255428621e-11, -2.494580255632386797e-10, 2.212733607604405559e-10, 1.028246794444934029e-09, 3.920494979080816357e-10, -4.340955031790358773e-10
1.897000000000000000e+03, 2.361682864916051404e-09, -6.264957008795988742e-10, -1.038526853280481842e-09, -9.407305545428234879e-10, -9.005870751232312868e-10, 8.523908321241181973e-10, -5.419122543068312890e-10, 3.880846448319838804e-10
1.898000000000000000e+03, -1.175744005296522195e-09, -1.607903681332365408e-10, 3.607478409241425319e-10, 1.366076653527027272e-09, -4.528082664573612296e-12, 2.174265488248480362e-09, -2.337351221487693901e-10, -7.107646145323752752e-10
1.899000000000000000e+03, -1.511161572756189112e-09, 1.560486955235567014e-09, 7.270876753841876564e-10, -2.759565384410510752e-11, 2.693091034374308189e-10, -1.543852616498275309e-09, -4.796127439469584320e-10, 1.907407850173490853e-11
1.900000000000000000e+03, 4.975985773195546228e-10, -2.879089796411497118e-10, -2.454064396396705049e-10, 6.006501241118383170e-10, 2.323726589317394643e-10, -1.705608974788585406e-09, -1.948321316321170873e-10, -1.142238262867186163e-10
