year, ACCESS-ESM1-5, MPI-ESM1-2-LR, CanESM5, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-MM, INM-CM4-8, MIROC-ES2L, CESM2-WACCM
1.876000000000000000e+03, 2.949760913870460968e+02, 2.947530026868124651e+02, 2.945756049811715229e+02, 2.946364271940668118e+02, 2.929380756463554007e+02, 2.949916958467131280e+02, 2.932000580952569067e+02, 2.958368160343041495e+02, 2.932826096683145920e+02, 2.943940298143728000e+02, 2.945695991465734664e+02, 2.947627598349760660e+02, 2.947544133885739939e+02, 2.935420669691483795e+02, 2.961195788847704193e+02, 2.943319794463274661e+02
1.877000000000000000e+03, 2.952571536355339390e+02, 2.947251806977515116e+02, 2.938954392534861881e+02, 2.952191452502530069e+02, 2.933380409004052467e+02, 2.956119304030814305e+02, 2.936996320633088544e+02, 2.958853004538994469e+02, 2.937886820513132307e+02, 2.945113134362699157e+02, 2.944826212583100187e+02, 2.948768273343238207e+02, 2.949407689238806256e+02, 2.936444790463967820e+02, 2.960216132766952910e+02, 2.946499655203636507e+02
1.878000000000000000e+03, 2.944214179258498234e+02, 2.953024137190963074e+02, 2.948260953836756926e+02, 2.951265986260666523e+02, 2.933478772906715903e+02, 2.952738492659071312e+02, 2.930175791345652669e+02, 2.951528473046196837e+02, 2.938284591618963759e+02, 2.949516825294354589e+02, 2.940477292372439706e+02, 2.945657805596250114e+02, 2.946593060283927912e+02, 2.932532043861874058e+02, 2.961161118840078643e+02, 2.945027959136627942e+02
1.879000000000000000e+03, 2.944672056695559945e+02, 2.946213687856579782e+02, 2.940139505456079405e+02, 2.944486642566888008e+02, 2.933166233128326894e+02, 2.949834156726153083e+02, 2.926844821397490364e+02, 2.954413427515015655e+02, 2.940156302679872624e+02, 2.943597538414313703e+02, 2.945153388282487867e+02, 2.947541193712857535e+02, 2.944366796851471122e+02, 2.932216831027844819e+02, 2.957927822122417183e+02, 2.952617412717365823e+02
1.880000000000000000e+03, 2.951643929354437432e+02, 2.953233949895563910e+02, 2.947530934605746893e+02, 2.943912475803309121e+02, 2.935029389864736231e+02, 2.951733942363586607e+02, 2.932505016449360369e+02, 2.947373898366337812e+02, 2.927484724785778667e+02, 2.942715792606110199e+02, 2.947679132814363356e+02, 2.945142314153707161e+02, 2.951890384597656407e+02, 2.933330810912256084e+02, 2.960781624610287963e+02, 2.946812021468671787e+02
1.881000000000000000e+03, 2.950576179879800520e+02, 2.947662745873932408e+02, 2.945972218095807875e+02, 2.955934138956063180e+02, 2.934322534202259476e+02, 2.954797834793416200e+02, 2.931073610506375076e+02, 2.943372978521524033e+02, 2.939398447733043440e+02, 2.949195697306761872e+02, 2.945475864104431594e+02, 2.947351710695892280e+02, 2.947933741589151282e+02, 2.934575807433585055e+02, 2.959233903970574602e+02, 2.946207778122125660e+02
1.882000000000000000e+03, 2.944755470792690062e+02, 2.938398831758578922e+02, 2.940381483238022042e+02, 2.950267714346461503e+02, 2.930153861448892485e+02, 2.950469868319722195e+02, 2.928962629621214546e+02, 2.960533938465822530e+02, 2.934652715715390627e+02, 2.944652252502349370e+02, 2.943909027600720378e+02, 2.947346279894330792e+02, 2.949682359870483310e+02, 2.936106921870761539e+02, 2.965987697931114440e+02, 2.947109012640336800e+02
1.883000000000000000e+03, 2.946707460642894034e+02, 2.943835489592972863e+02, 2.950089474194075478e+02, 2.946454655635564563e+02, 2.932845491876940969e+02, 2.948616711431607200e+02, 2.928754470369103728e+02, 2.953991893251135821e+02, 2.935752580110421945e+02, 2.941600015064779541e+02, 2.937036622264914172e+02, 2.940746893408213509e+02, 2.949179544542972167e+02, 2.933131057028417672e+02, 2.963321554438971361e+02, 2.943644175292009777e+02
1.884000000000000000e+03, 2.948337182750478291e+02, 2.943053316952507998e+02, 2.935339277213178093e+02, 2.940111308760136808e+02, 2.931972544925912985e+02, 2.948742118378628447e+02, 2.925458748750529594e+02, 2.948822847397813121e+02, 2.926292668880744259e+02, 2.938434730354562703e+02, 2.938669806799015873e+02, 2.936001801800603062e+02, 2.940708781678575860e+02, 2.931806485529830866e+02, 2.957878480043224272e+02, 2.940834592113535564e+02
1.885000000000000000e+03, 2.943695195909413087e+02, 2.943057420749453854e+02, 2.943341857050783119e+02, 2.952883576052131502e+02, 2.932654714746951754e+02, 2.952605647000432896e+02, 2.927110416768323375e+02, 2.955325475479460238e+02, 2.936798135392250515e+02, 2.944369762173624849e+02, 2.941429058915401242e+02, 2.940909657548278915e+02, 2.940040340787845139e+02, 2.936209765251317094e+02, 2.957231073231557730e+02, 2.947656865800333321e+02
