year, TaiESM1, EC-Earth3-Veg, INM-CM4-8, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-LM, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, CanESM5, IPSL-CM6A-LR, NorESM2-MM
1.870000000000000000e+03, 1.855065723781029874e+01, 1.293057790195976153e+01, 6.475308795324988864e+01, 8.677087858330101255e+01, 3.574988715541296358e+01, 4.827790562948625563e+01, 5.591643437490105129e+01, 4.192419262911132449e+01, 4.653470750610826201e+01, 2.852338168261174900e+01, 5.744072228529360302e+01, 4.096638379291282916e+01, 6.435555912553741109e+01, 3.779106943415963826e+01, 1.175768975732393251e+01, 5.189245838260370647e+01
1.871000000000000000e+03, 1.851452194091278614e+01, 1.286928800187565436e+01, 6.480942503381449171e+01, 8.675721567842795423e+01, 3.601026132419225689e+01, 4.820596792306786682e+01, 5.594765782765135498e+01, 4.185430290788259100e+01, 4.666966897785834334e+01, 2.853175947508720256e+01, 5.756607187648893387e+01, 4.094539765505763995e+01, 6.434450472690112122e+01, 3.788787840274237340e+01, 1.175483241956244562e+01, 5.182225817151214642e+01
1.872000000000000000e+03, 1.848306217015343478e+01, 1.287198879565497656e+01, 6.478387349348699331e+01, 8.660034772646007184e+01, 3.616429798311655475e+01, 4.815729781333951820e+01, 5.602647617410872982e+01, 4.183758548842415337e+01, 4.665550629019619322e+01, 2.855740904157386595e+01, 5.740682050753893151e+01, 4.103740961420127320e+01, 6.437797848103406295e+01, 3.783483622622263454e+01, 1.175106945582740714e+01, 5.174783097408668908e+01
1.873000000000000000e+03, 1.844582488120700603e+01, 1.287143978201581440e+01, 6.472181019510294675e+01, 8.641809575742158245e+01, 3.624878799495900950e+01, 4.808807046431257248e+01, 5.609291800677070228e+01, 4.199136944111357650e+01, 4.665248032950005097e+01, 2.846604823233661818e+01, 5.733047942177874035e+01, 4.104117712487838077e+01, 6.437002824800340761e+01, 3.795083965603060250e+01, 1.175353042229095557e+01, 5.162463280692682588e+01
1.874000000000000000e+03, 1.840497327426559337e+01, 1.289036891584928846e+01, 6.463183811623657959e+01, 8.630364234867678874e+01, 3.623888210851448832e+01, 4.796536003064885278e+01, 5.620164255339463466e+01, 4.207170119997882551e+01, 4.664354635695206497e+01, 2.839697042872218447e+01, 5.722876191903559118e+01, 4.089163768864373338e+01, 6.426070370622065298e+01, 3.804091861745533265e+01, 1.176621440145538955e+01, 5.160322337937874693e+01
1.875000000000000000e+03, 1.843723722651819585e+01, 1.289094319981820114e+01, 6.457593930893072809e+01, 8.623126332134118854e+01, 3.626261059188261981e+01, 4.804572583352942416e+01, 5.626804036913648588e+01, 4.213724984943609542e+01, 4.668896403965992192e+01, 2.836485321686473782e+01, 5.708543089190386866e+01, 4.087761172850072455e+01, 6.421762384344810926e+01, 3.812286280012622086e+01, 1.180702706742512476e+01, 5.167439648897446602e+01
1.876000000000000000e+03, 1.849479836594448301e+01, 1.278726036080787409e+01, 6.458056854722923390e+01, 8.608217844033562471e+01, 3.631274622202421654e+01, 4.809250843583509294e+01, 5.627604545977510497e+01, 4.224514057923954624e+01, 4.673307619874420027e+01, 2.833564917253232096e+01, 5.695540141537891543e+01, 4.099868912768467766e+01, 6.422124090442916611e+01, 3.831457797765293094e+01, 1.185620694570690326e+01, 5.159703059781394074e+01
1.877000000000000000e+03, 1.850118485171054772e+01, 1.266251154157723136e+01, 6.455017915528834749e+01, 8.600348639091991743e+01, 3.629522612799087256e+01, 4.817201058207015052e+01, 5.628778996997549200e+01, 4.222397179260879341e+01, 4.678899078774925613e+01, 2.832013473465019970e+01, 5.680414222178094974e+01, 4.100847537494321671e+01, 6.429618300255447139e+01, 3.857738129838784147e+01, 1.190561850018897516e+01, 5.143417544949613074e+01
1.878000000000000000e+03, 1.851509614582359120e+01, 1.256448193577719152e+01, 6.455940571481168888e+01, 8.593866229854236849e+01, 3.642665207001972760e+01, 4.830341655508075149e+01, 5.633200200580755279e+01, 4.234204321274989979e+01, 4.686012369074871486e+01, 2.839921137570239651e+01, 5.682340395045321912e+01, 4.111532741697444493e+01, 6.437836521699273362e+01, 3.875618790094335964e+01, 1.193159512477765460e+01, 5.152901129678983949e+01
1.879000000000000000e+03, 1.851991122408063362e+01, 1.241960533841311509e+01, 6.464063738923664459e+01, 8.595890675908407275e+01, 3.637272356623948610e+01, 4.822302608219514752e+01, 5.638069335254062509e+01, 4.241545548466260129e+01, 4.684248986038075913e+01, 2.839225866591372593e+01, 5.694748531704727412e+01, 4.121456132770396152e+01, 6.426689480366604812e+01, 3.878391553252266277e+01, 1.195602502399884237e+01, 5.162521392316847368e+01
