year, ACCESS-ESM1-5, TaiESM1, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-MM, CESM2-WACCM, INM-CM5-0, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, IPSL-CM6A-LR
1.860000000000000000e+03, 2.659131273038314021e+02, 2.651958343425480962e+02, 2.654738115260685163e+02, 2.672811514958603993e+02, 2.647876979510056685e+02, 2.652237695435392197e+02, 2.648455680928800007e+02, 2.632466249095074318e+02, 2.675342814719653575e+02, 2.644677310235315986e+02, 2.656474046406668208e+02, 2.658960714524826017e+02, 2.658832014669266641e+02, 2.623898357366014693e+02, 2.653705652404568696e+02, 2.648842071643416034e+02
1.861000000000000000e+03, 2.663418490531348084e+02, 2.656836328658357615e+02, 2.659269520293737514e+02, 2.679615891678715798e+02, 2.650994276735170843e+02, 2.658992749941957072e+02, 2.646244721037045338e+02, 2.645896040244445544e+02, 2.674846686426827773e+02, 2.643787036596368694e+02, 2.651887245144165490e+02, 2.661679780734609153e+02, 2.660080780907717894e+02, 2.622359775645344371e+02, 2.650088910560095314e+02, 2.657977472700749217e+02
1.862000000000000000e+03, 2.661541572770899506e+02, 2.640213906017923478e+02, 2.659606483271664388e+02, 2.678308766963682501e+02, 2.652868471648383775e+02, 2.657211297771135037e+02, 2.649009507998770232e+02, 2.636659947258030456e+02, 2.673417755017522950e+02, 2.645497755178001853e+02, 2.644017094193417279e+02, 2.655616178496067619e+02, 2.659905420804460050e+02, 2.625683448566506399e+02, 2.650744916955831059e+02, 2.653042368662610784e+02
1.863000000000000000e+03, 2.667849283152468161e+02, 2.636280584164688321e+02, 2.655120007393679771e+02, 2.672847257422450866e+02, 2.657224367597190735e+02, 2.664029760945217618e+02, 2.655205329322423040e+02, 2.639508367340755512e+02, 2.672357712782861086e+02, 2.646623147820473605e+02, 2.653748907938772845e+02, 2.651561913511293369e+02, 2.657085012308911587e+02, 2.622781807592109544e+02, 2.651585777032532860e+02, 2.654500659389178736e+02
1.864000000000000000e+03, 2.659430386741785242e+02, 2.645940250926183239e+02, 2.651967963763756870e+02, 2.677727077593436888e+02, 2.652882019721818097e+02, 2.661699574266874606e+02, 2.645902541328011353e+02, 2.638340828839572509e+02, 2.663760126208851489e+02, 2.655702028150882938e+02, 2.649626133735455369e+02, 2.649790186265593093e+02, 2.663914123366956233e+02, 2.629624679109816157e+02, 2.650106578485888349e+02, 2.655407306602347717e+02
1.865000000000000000e+03, 2.662630524451497536e+02, 2.645756891707087561e+02, 2.655498311363014068e+02, 2.678691039697871474e+02, 2.653329963287488908e+02, 2.662880324146308340e+02, 2.653577907313900823e+02, 2.630214821122971216e+02, 2.660354826397997385e+02, 2.651756707098499533e+02, 2.652551095360451541e+02, 2.657717250068228623e+02, 2.663362646030395240e+02, 2.622472919508737164e+02, 2.653365021572855653e+02, 2.651750010449985098e+02
1.866000000000000000e+03, 2.668720238390608301e+02, 2.643635039599799370e+02, 2.662938714710535351e+02, 2.678424009947605668e+02, 2.654990753421374734e+02, 2.660325880808229613e+02, 2.648376071516460684e+02, 2.634883643585411050e+02, 2.666387843879994080e+02, 2.657463024788016810e+02, 2.660688232529635684e+02, 2.652284037627377415e+02, 2.661175200058349333e+02, 2.615894287746036184e+02, 2.650335783705556310e+02, 2.655811978409502672e+02
1.867000000000000000e+03, 2.665634190379373649e+02, 2.653898204876560385e+02, 2.659209579855370862e+02, 2.677230439999860891e+02, 2.657417341143599856e+02, 2.657299988894221769e+02, 2.656587322561376254e+02, 2.626008150456424346e+02, 2.668332570509812172e+02, 2.651549453330868573e+02, 2.657721888180340670e+02, 2.660628576166591301e+02, 2.657444137803113335e+02, 2.618726520152818580e+02, 2.653176292330646220e+02, 2.650682268705581350e+02
1.868000000000000000e+03, 2.663999721601800843e+02, 2.651136872736163923e+02, 2.653105062158527971e+02, 2.674892444561924663e+02, 2.649218655298467979e+02, 2.664019705263467586e+02, 2.646986052075874341e+02, 2.632526676148050910e+02, 2.660533015629284819e+02, 2.650517721064302350e+02, 2.663232961127463909e+02, 2.657337368303031440e+02, 2.658410671333669484e+02, 2.622368216356583730e+02, 2.650530215451645972e+02, 2.652075773865714154e+02
1.869000000000000000e+03, 2.663946484955511096e+02, 2.645442562848841135e+02, 2.652711382938865086e+02, 2.678657718948707611e+02, 2.646660449543165896e+02, 2.662064929203587553e+02, 2.653390005918497536e+02, 2.635253837811631570e+02, 2.673129481229038902e+02, 2.652288941352904885e+02, 2.654618163514785465e+02, 2.658000851949344678e+02, 2.667868683910422760e+02, 2.625963909031551680e+02, 2.651467121586069311e+02, 2.646971500130388222e+02
1.870000000000000000e+03, 2.663604172050540910e+02, 2.641087724439834687e+02, 2.665113361930723386e+02, 2.671946117054966408e+02, 2.654461730326644329e+02, 2.663862688907892675e+02, 2.655735694274109164e+02, 2.631002519271051483e+02, 2.659308902845652369e+02, 2.646897085209108127e+02, 2.658119714413635961e+02, 2.659565882275964555e+02, 2.656512601928130834e+02, 2.628289509054011432e+02, 2.654848485996053000e+02, 2.650943802564369207e+02
1.871000000000000000e+03, 2.663795015582480232e+02, 2.644949029867152035e+02, 2.651710836898239450e+02, 2.676568133679057269e+02, 2.652128650197656157e+02, 2.661890729217324747e+02, 2.658332508962780594e+02, 2.626781704634468610e+02, 2.669749616237930923e+02, 2.648111193681020836e+02, 2.664644014144888615e+02, 2.655135776392276057e+02, 2.661832378998253716e+02, 2.634632226111192494e+02, 2.657279647023635221e+02, 2.648770990931846541e+02
1.872000000000000000e+03, 2.665076177027706308e+02, 2.639519757715945616e+02, 2.654748878228730860e+02, 2.676199836409674617e+02, 2.649902932136137110e+02, 2.664667881523781148e+02, 2.654740637363201472e+02, 2.635269517805452324e+02, 2.664311025252396803e+02, 2.651400820058810837e+02, 2.650862660170701588e+02, 2.653653869282603068e+02, 2.661125725820804746e+02, 2.631226881196043905e+02, 2.653968705852631160e+02, 2.654637744788546456e+02
1.873000000000000000e+03, 2.670305326915762407e+02, 2.645515903907673874e+02, 2.659035507931430971e+02, 2.678324907927309937e+02, 2.645005878716144139e+02, 2.652994860345974644e+02, 2.661978787946914053e+02, 2.631991174854732094e+02, 2.666260935929910829e+02, 2.644732379155607305e+02, 2.650871027392332167e+02, 2.652232003974484087e+02, 2.660405054180995990e+02, 2.631937324770462965e+02, 2.655403858015135370e+02, 2.655893540077292982e+02
1.874000000000000000e+03, 2.666953728111380428e+02, 2.641662935615772767e+02, 2.656100128159238807e+02, 2.674627794734988697e+02, 2.643823086687455657e+02, 2.658986946142354100e+02, 2.655909549172577613e+02, 2.634251097687665606e+02, 2.661229677749238931e+02, 2.649268514183356160e+02, 2.649342580337665822e+02, 2.648698397957065254e+02, 2.662532269130387590e+02, 2.628366928723121987e+02, 2.648537458569597334e+02, 2.648931723819713397e+02
1.875000000000000000e+03, 2.668786744784362099e+02, 2.646437806206558889e+02, 2.662750796422217832e+02, 2.678583413928626555e+02, 2.644679345419553442e+02, 2.661956966916754936e+02, 2.657992483768632610e+02, 2.637539747073108742e+02, 2.671539593445036758e+02, 2.651630436550959189e+02, 2.656945898945318163e+02, 2.656003109798196533e+02, 2.663150196686178788e+02, 2.623628960200887832e+02, 2.652901228214985849e+02, 2.652183910965678706e+02
1.876000000000000000e+03, 2.661582596034489825e+02, 2.646429577149725674e+02, 2.656566469845286633e+02, 2.681994128854274209e+02, 2.647377482708254774e+02, 2.670628839506045438e+02, 2.653199914904573689e+02, 2.634536287200447759e+02, 2.670451462426727289e+02, 2.642381617745205631e+02, 2.650778508534244793e+02, 2.655340769207587641e+02, 2.656272966673192286e+02, 2.617144038769035888e+02, 2.657341392152791286e+02, 2.651524883419322691e+02
1.877000000000000000e+03, 2.662890295125969828e+02, 2.649843735264309998e+02, 2.661185291981408341e+02, 2.675206478361138238e+02, 2.649650731901207905e+02, 2.671395457060163494e+02, 2.651696554356065576e+02, 2.629308678445769942e+02, 2.666495002854185259e+02, 2.645242145573366201e+02, 2.651164775309777610e+02, 2.659175733471088279e+02, 2.654342273180095617e+02, 2.624889379654805452e+02, 2.653817353004438360e+02, 2.656381998972295264e+02
1.878000000000000000e+03, 2.661260000087552271e+02, 2.649128074486932860e+02, 2.659875256705537367e+02, 2.675611811789302692e+02, 2.648569574916804754e+02, 2.673709244240675957e+02, 2.651747595643419118e+02, 2.635401518771640212e+02, 2.668422314630561232e+02, 2.653470579631734267e+02, 2.662571357828416581e+02, 2.660428647156657007e+02, 2.658084483787017689e+02, 2.624177584059169703e+02, 2.654050869948470108e+02, 2.643320627451981295e+02
1.879000000000000000e+03, 2.669562297897857093e+02, 2.644482216513528670e+02, 2.660116512285767953e+02, 2.677845534232157547e+02, 2.647454929702805089e+02, 2.667080309743574844e+02, 2.650417723840372446e+02, 2.637381810133163071e+02, 2.666215282303401182e+02, 2.646963707489040303e+02, 2.659411903583967387e+02, 2.652612792350320774e+02, 2.660837371162288036e+02, 2.618484622080874828e+02, 2.652810861539163625e+02, 2.656606498163190508e+02
1.880000000000000000e+03, 2.667973054386434342e+02, 2.644350555874726751e+02, 2.657380813488073272e+02, 2.670881266367905482e+02, 2.645075366330716520e+02, 2.664741957219359278e+02, 2.641691960833044277e+02, 2.635788093458194794e+02, 2.665621532455439251e+02, 2.642059965323920210e+02, 2.658614986534718128e+02, 2.662938421996059333e+02, 2.657066206032316700e+02, 2.628519817628286432e+02, 2.652140610729491641e+02, 2.656058956073806598e+02
1.881000000000000000e+03, 2.663832471382398239e+02, 2.641113809068481828e+02, 2.661543387797607920e+02, 2.674679846808127195e+02, 2.646181593954707409e+02, 2.662938716681805431e+02, 2.651193190837734619e+02, 2.629552571633561229e+02, 2.670800191387718314e+02, 2.647338057540633258e+02, 2.659434471516581766e+02, 2.652337144793013408e+02, 2.656386216814126442e+02, 2.629198392658774992e+02, 2.652153078105100121e+02, 2.652339773380677457e+02
1.882000000000000000e+03, 2.657925206852482916e+02, 2.648952847154458823e+02, 2.646928892480222544e+02, 2.679187995567704093e+02, 2.648039147474345327e+02, 2.659229959372985377e+02, 2.650185590671727596e+02, 2.627183180156096682e+02, 2.661897047713038660e+02, 2.648941705003263678e+02, 2.666899404603958033e+02, 2.653148343549110564e+02, 2.656808116194550848e+02, 2.629537452541637208e+02, 2.656859699146705793e+02, 2.644465949868334746e+02
1.883000000000000000e+03, 2.666218826376354514e+02, 2.640185461721994216e+02, 2.656234276695193444e+02, 2.669134255646140446e+02, 2.646290198755638130e+02, 2.669392112300507165e+02, 2.653500873336261634e+02, 2.634658202118862960e+02, 2.679732539757534937e+02, 2.644190884599964306e+02, 2.655489758441481172e+02, 2.657002708212822881e+02, 2.665226030769165391e+02, 2.633650019714185078e+02, 2.655466892849407259e+02, 2.647035467393668569e+02
1.884000000000000000e+03, 2.664353614102824395e+02, 2.631120580701534095e+02, 2.653883909270634831e+02, 2.670503235456237121e+02, 2.640161028049525953e+02, 2.662820190232816913e+02, 2.643238814575630613e+02, 2.633607144770715536e+02, 2.668571106173818066e+02, 2.641227810231376338e+02, 2.642979095102858196e+02, 2.647010211171598826e+02, 2.651441809543076147e+02, 2.624859935083349001e+02, 2.643484003867269507e+02, 2.638340288876128739e+02
1.885000000000000000e+03, 2.657599293245216927e+02, 2.639140061218026858e+02, 2.652849951460017905e+02, 2.664834495271396122e+02, 2.648088535016685228e+02, 2.667564249860557197e+02, 2.650418857087424840e+02, 2.632951087962320571e+02, 2.666697567997214264e+02, 2.637579734179989259e+02, 2.651398982175806509e+02, 2.642829612154440042e+02, 2.657292244279101396e+02, 2.621120574645067904e+02, 2.645367026084050508e+02, 2.644758888397492456e+02
1.886000000000000000e+03, 2.659180617427359152e+02, 2.643957774994030387e+02, 2.646883834436666234e+02, 2.664959130212118907e+02, 2.647468313627122143e+02, 2.664251148023139422e+02, 2.645787237946376536e+02, 2.628993851393288423e+02, 2.659857778740804974e+02, 2.648727288178969843e+02, 2.647674055540080644e+02, 2.648433710094232083e+02, 2.663322143832838265e+02, 2.612204932588754787e+02, 2.649379183631506294e+02, 2.639238878093498784e+02
1.887000000000000000e+03, 2.654831716631629774e+02, 2.638798979049224727e+02, 2.659433459355524860e+02, 2.668028686209623288e+02, 2.642775820732400689e+02, 2.660130399806741934e+02, 2.644250080271792740e+02, 2.627397123345040768e+02, 2.654878332563619097e+02, 2.642607971700143139e+02, 2.654981455020044336e+02, 2.650258010336766006e+02, 2.656714013507306049e+02, 2.616848038000141514e+02, 2.648686125086485958e+02, 2.650524892698115877e+02
1.888000000000000000e+03, 2.661443302986673416e+02, 2.644110229292712688e+02, 2.662694183724379968e+02, 2.670703828021976278e+02, 2.645311049253195961e+02, 2.662527302212988047e+02, 2.648102131954665879e+02, 2.635489941583643940e+02, 2.659004773059604076e+02, 2.641390229135907930e+02, 2.648727700589915344e+02, 2.654272364521378904e+02, 2.658429323955231212e+02, 2.623139306717291674e+02, 2.653762163182083214e+02, 2.641613138943793615e+02
1.889000000000000000e+03, 2.661214043168930630e+02, 2.627088265372062779e+02, 2.655403566431139097e+02, 2.674568194274818325e+02, 2.647937275029842112e+02, 2.660341457007978079e+02, 2.647984493651275102e+02, 2.633899724670423552e+02, 2.658419916863228423e+02, 2.651634983121189748e+02, 2.652929419807636577e+02, 2.659366706440257531e+02, 2.664836658986276916e+02, 2.625968108845357278e+02, 2.650983019674811203e+02, 2.643657926518233694e+02
1.890000000000000000e+03, 2.666309907679276421e+02, 2.638920238578169233e+02, 2.660359545724455756e+02, 2.660676039123813439e+02, 2.646294791529506369e+02, 2.667769728988244538e+02, 2.640342443704366246e+02, 2.628834705280220305e+02, 2.667902085642068641e+02, 2.642830287766387301e+02, 2.652559605523676396e+02, 2.654696779496247245e+02, 2.662946282143375356e+02, 2.632526041179749541e+02, 2.648731456565450344e+02, 2.650091680731439396e+02
1.891000000000000000e+03, 2.662528939674363073e+02, 2.634481853609413520e+02, 2.652840589969953839e+02, 2.661699152447442316e+02, 2.643493327689197372e+02, 2.662393811657809124e+02, 2.642827277474552261e+02, 2.633090678064123722e+02, 2.661469630796581782e+02, 2.635598629564137241e+02, 2.653950189516954765e+02, 2.653258540753287775e+02, 2.659666110005182986e+02, 2.620113425328413541e+02, 2.648559952051315349e+02, 2.640823881040525407e+02
1.892000000000000000e+03, 2.658887113079089204e+02, 2.628751165584545788e+02, 2.661692341102276487e+02, 2.666150907549838394e+02, 2.647985901696975475e+02, 2.663004626658860161e+02, 2.653545469546376125e+02, 2.633797518110949341e+02, 2.653082550731654123e+02, 2.638361001481554808e+02, 2.652094724132197712e+02, 2.655681271428890113e+02, 2.656933824737204759e+02, 2.630047602915270772e+02, 2.643161589829537093e+02, 2.650347532685225929e+02
1.893000000000000000e+03, 2.657102719008977374e+02, 2.646294930554386724e+02, 2.659407024641998305e+02, 2.671711202478899736e+02, 2.650079519886148205e+02, 2.670087236579834098e+02, 2.654967528148708311e+02, 2.629518722705532809e+02, 2.655635102828683216e+02, 2.640392096183257991e+02, 2.652198007182849437e+02, 2.657627928367982690e+02, 2.663213124299683727e+02, 2.617735029623643754e+02, 2.649127075671794387e+02, 2.644803071888893555e+02
1.894000000000000000e+03, 2.662732224472205189e+02, 2.635888352165370634e+02, 2.658701124649101644e+02, 2.667050298069433438e+02, 2.640226847455954839e+02, 2.668301392776599528e+02, 2.659253112081221957e+02, 2.630770170934578118e+02, 2.661588924128978988e+02, 2.651254922260944795e+02, 2.650603601407121914e+02, 2.658397695354760231e+02, 2.660575886976206448e+02, 2.638194869410468755e+02, 2.652396823806134876e+02, 2.653671461805676586e+02
1.895000000000000000e+03, 2.661591738797600897e+02, 2.628022594828044589e+02, 2.657476682738646900e+02, 2.671415165871325144e+02, 2.650029985392632739e+02, 2.667870758320967184e+02, 2.649707352085931689e+02, 2.629938169192254236e+02, 2.657165640477039688e+02, 2.636445816777229538e+02, 2.653230583400644491e+02, 2.660175365555041367e+02, 2.660535880937615048e+02, 2.641357987661535844e+02, 2.653129174916942929e+02, 2.646993789527621743e+02
1.896000000000000000e+03, 2.661547275911511861e+02, 2.647002815530723296e+02, 2.659193808817290119e+02, 2.671284993210290395e+02, 2.644198824737849804e+02, 2.672209596991667127e+02, 2.648288261194430788e+02, 2.637132203770444789e+02, 2.659312342508663960e+02, 2.643651497201726670e+02, 2.657830592647424055e+02, 2.656919815913092293e+02, 2.663895249127105558e+02, 2.642176430274470817e+02, 2.647104939276408686e+02, 2.652199883119486117e+02
1.897000000000000000e+03, 2.663359827257860388e+02, 2.632749195571144014e+02, 2.659783680878504128e+02, 2.674756070830493400e+02, 2.652767436424972516e+02, 2.660518110986167812e+02, 2.655521135351393696e+02, 2.628265710691354684e+02, 2.657144158839363399e+02, 2.642137897534957460e+02, 2.655312161434510472e+02, 2.650721770129990773e+02, 2.664897667359228421e+02, 2.634805752595052013e+02, 2.663556079168428710e+02, 2.655048723015981977e+02
1.898000000000000000e+03, 2.661823659292156776e+02, 2.637223623180014442e+02, 2.660173405497825456e+02, 2.678384542622635536e+02, 2.651613898778135763e+02, 2.676893458843942426e+02, 2.652110645298522513e+02, 2.634363982533455442e+02, 2.661981507823124389e+02, 2.641694346245636780e+02, 2.659429895425305403e+02, 2.653182052537014783e+02, 2.663342668662890560e+02, 2.635481800478634113e+02, 2.653100635158409091e+02, 2.655101691428981212e+02
1.899000000000000000e+03, 2.660815356272897247e+02, 2.631919781262429865e+02, 2.659078425075197174e+02, 2.674996178402988107e+02, 2.652989359011250485e+02, 2.668129068838595686e+02, 2.654613412483072352e+02, 2.629641636798623381e+02, 2.659389949946673823e+02, 2.648381806510902834e+02, 2.657481843462595066e+02, 2.659465741408458257e+02, 2.667608326760370119e+02, 2.632558339534841139e+02, 2.655255446964824841e+02, 2.651104988422690099e+02
1.900000000000000000e+03, 2.661553223746080903e+02, 2.641275058609526241e+02, 2.661467658714656181e+02, 2.666620184501409199e+02, 2.646588995062800791e+02, 2.673287367256113498e+02, 2.650436291156792095e+02, 2.628463077816690543e+02, 2.656383528864740242e+02, 2.644274997228331472e+02, 2.652564784942749725e+02, 2.656974851433310505e+02, 2.664788934834548968e+02, 2.633746504553491832e+02, 2.655418761420950773e+02, 2.655566055640262562e+02
1.901000000000000000e+03, 2.659031680416534869e+02, 2.635218767924968688e+02, 2.658641019825845433e+02, 2.668088196328908452e+02, 2.649427284844622363e+02, 2.672996607537463660e+02, 2.658035307709162680e+02, 2.624577685281938670e+02, 2.671133431535406544e+02, 2.650376215302439391e+02, 2.647096304993146418e+02, 2.653238609615075347e+02, 2.661541967247942466e+02, 2.631305527282386834e+02, 2.653849174148080579e+02, 2.653722142875974441e+02
1.902000000000000000e+03, 2.662423760892310156e+02, 2.636919639833490692e+02, 2.655597125842587616e+02, 2.675545854153085088e+02, 2.652137548448973803e+02, 2.663549730717305124e+02, 2.658831195713674447e+02, 2.628214052174259336e+02, 2.670622748671300428e+02, 2.646781629133057550e+02, 2.656600223721389398e+02, 2.655451494162741142e+02, 2.661041846093192476e+02, 2.631718506562928042e+02, 2.657163780290412660e+02, 2.650337621388480898e+02
1.903000000000000000e+03, 2.664214132258047130e+02, 2.625222526319780059e+02, 2.651019550978386974e+02, 2.670072111893893521e+02, 2.644929991003784835e+02, 2.653024234470329930e+02, 2.638998610439367667e+02, 2.632015774911198491e+02, 2.657683916276947116e+02, 2.645231318334217576e+02, 2.651925254597472872e+02, 2.657650224344528738e+02, 2.655040488606073268e+02, 2.628083780431801983e+02, 2.655779220024509186e+02, 2.643694952849869537e+02
1.904000000000000000e+03, 2.663101026950178039e+02, 2.630033703735597896e+02, 2.652372664865088723e+02, 2.673263016299221704e+02, 2.646413314493280495e+02, 2.669464232876184724e+02, 2.655074037049408275e+02, 2.632438802160755245e+02, 2.658683581043463846e+02, 2.653087054516878425e+02, 2.657579514790415942e+02, 2.648852312827929154e+02, 2.659712163054043117e+02, 2.628011023633990817e+02, 2.648383703430476999e+02, 2.647000408681591352e+02
1.905000000000000000e+03, 2.658297851506524694e+02, 2.630032710980584056e+02, 2.652860513290863196e+02, 2.672855398356083469e+02, 2.651474333578630649e+02, 2.669955362100442358e+02, 2.645944157585790890e+02, 2.635057641880508186e+02, 2.656505572761723784e+02, 2.644083853816219971e+02, 2.658773290053397318e+02, 2.660929260427202507e+02, 2.662575431430437902e+02, 2.631817838965035889e+02, 2.648309037199055069e+02, 2.645909679734658653e+02
1.906000000000000000e+03, 2.660774793749540095e+02, 2.646398143910637373e+02, 2.659305937481512956e+02, 2.674018107509069750e+02, 2.650473955554825807e+02, 2.659767390681096231e+02, 2.651835110151435515e+02, 2.628781570558770682e+02, 2.659567167799657454e+02, 2.643490824771342886e+02, 2.652898004512961734e+02, 2.658440081782688367e+02, 2.659087286484989363e+02, 2.629955279115442863e+02, 2.646965162194253480e+02, 2.645661037265243181e+02
1.907000000000000000e+03, 2.664106357769874762e+02, 2.635079590362462341e+02, 2.661115630842058977e+02, 2.673218024319255051e+02, 2.647779130749535739e+02, 2.667515510892508246e+02, 2.649883134085753227e+02, 2.628371575364684531e+02, 2.665088277438081263e+02, 2.634941785706374731e+02, 2.657672448987742655e+02, 2.652906112827988636e+02, 2.662968500980653062e+02, 2.634777139878345906e+02, 2.653286729465891085e+02, 2.639768688167574737e+02
1.908000000000000000e+03, 2.660132559758761772e+02, 2.634763993558165112e+02, 2.660662056787346046e+02, 2.671766283100513419e+02, 2.648913279488290300e+02, 2.659968180222766705e+02, 2.653088074203524798e+02, 2.635219153252768365e+02, 2.666056925245115394e+02, 2.634250424663322860e+02, 2.647852990143659895e+02, 2.655012468666516838e+02, 2.659322320444481988e+02, 2.628366533443904700e+02, 2.659033992076149957e+02, 2.652088843030709313e+02
1.909000000000000000e+03, 2.660959503141808682e+02, 2.640921664665499975e+02, 2.660068962573603244e+02, 2.670991712933824829e+02, 2.647021136534837069e+02, 2.665682976645870781e+02, 2.659151997749707448e+02, 2.634705810587101951e+02, 2.667002677438797491e+02, 2.641188152955970736e+02, 2.654406523414299954e+02, 2.657986878427583406e+02, 2.668701692469889508e+02, 2.638899629017117263e+02, 2.652948593836525220e+02, 2.660289441303903004e+02
1.910000000000000000e+03, 2.665002604568434208e+02, 2.632736132381928087e+02, 2.657702841722336871e+02, 2.671477979119018755e+02, 2.645832410332241125e+02, 2.657297037632160368e+02, 2.652348007178077864e+02, 2.633519598991015869e+02, 2.659501955176717729e+02, 2.639579563168120444e+02, 2.652650830055335973e+02, 2.661729935946597720e+02, 2.666414825146936209e+02, 2.624421891198588241e+02, 2.663051362855215984e+02, 2.655991186502387791e+02
1.911000000000000000e+03, 2.667359975558877636e+02, 2.640663721068991663e+02, 2.656180702835440002e+02, 2.672028296556392206e+02, 2.645506976876320664e+02, 2.669157600711223495e+02, 2.655836964364602863e+02, 2.627841754901015747e+02, 2.663278233203130299e+02, 2.645564810151544179e+02, 2.659577879157646976e+02, 2.653914543305955931e+02, 2.669827729226346378e+02, 2.619658801870692741e+02, 2.652890544653205893e+02, 2.651613139163042092e+02
