year, INM-CM5-0, CNRM-ESM2-1, IPSL-CM6A-LR, INM-CM4-8, TaiESM1, MIROC-ES2L, MPI-ESM1-2-LR, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, CanESM5, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5
1.860000000000000000e+03, 3.865981593733951449e+00, 4.477897447453591973e+00, 1.550323735213762877e+00, 3.928202877729102482e+00, 1.697225808620472565e+00, 5.325337734290612524e+00, 4.743344852033743564e+00, 4.207364559411542970e+00, 5.033703378195121481e+00, 3.526112897403936408e+00, 2.289761853968833805e+00, 5.116868838735332048e+00, 3.103746224236202167e+00, 2.923423706414253864e+00, 3.939646348491578909e+00, 2.600065638084737341e+00
1.861000000000000000e+03, 4.068402673480440157e+00, 4.485935939089759295e+00, 1.657413296439844475e+00, 3.975565690679152109e+00, 1.738641644807879194e+00, 5.758174420502372826e+00, 4.958072413393360023e+00, 4.162527617242134603e+00, 5.170403432127663734e+00, 3.370963375562301856e+00, 2.342702134769370392e+00, 5.439839618177480851e+00, 2.969820124902395442e+00, 3.235445363055837742e+00, 3.726540653224684085e+00, 2.650504233478016669e+00
1.862000000000000000e+03, 3.994172093290903724e+00, 4.518632699484639303e+00, 1.557477355606866398e+00, 4.083194386878657767e+00, 1.794082253847581798e+00, 5.613878871337361964e+00, 4.669874509438075805e+00, 4.117696636356205531e+00, 5.127813911960476645e+00, 3.293883318355710355e+00, 2.146578459977876996e+00, 5.241911179994086289e+00, 3.141611718051152913e+00, 3.032321230643127752e+00, 3.493826882883258822e+00, 2.629630396638269030e+00
1.863000000000000000e+03, 3.753648301180358970e+00, 4.717400910859807617e+00, 1.632602202230188260e+00, 3.947805874543866889e+00, 1.717875153851144310e+00, 5.231456581927628413e+00, 4.811794266073732729e+00, 4.412568989357764870e+00, 5.167236423081499552e+00, 3.682736399171996577e+00, 2.188736449392751471e+00, 5.347980463588561051e+00, 3.025072582455569759e+00, 3.029220594467262107e+00, 3.608333512380105468e+00, 2.641461095880615062e+00
1.864000000000000000e+03, 3.914932508677692269e+00, 4.302907072135265132e+00, 1.636383802530550158e+00, 3.867893784496396314e+00, 1.751341013770197907e+00, 5.219551758561316035e+00, 4.620947002256509784e+00, 4.243113524929989389e+00, 5.276170313545083701e+00, 3.624313472476939690e+00, 2.370056907000263724e+00, 5.213054751076141358e+00, 2.947607007046242344e+00, 3.311771887450156715e+00, 3.764292072160970726e+00, 2.659362678488599752e+00
1.865000000000000000e+03, 4.042293003385298178e+00, 4.389267946609424875e+00, 1.634452700184509277e+00, 3.764944028563903533e+00, 1.801119845796231633e+00, 5.664841670889806835e+00, 4.926555246429997759e+00, 4.206785530092741254e+00, 5.395287945779680072e+00, 3.556054273801092513e+00, 2.503151255333412095e+00, 5.078462885390561787e+00, 3.012330486784286165e+00, 3.191312327581101727e+00, 3.705296601207550555e+00, 2.641557248885490150e+00
1.866000000000000000e+03, 3.929093735037440194e+00, 4.603684564683539371e+00, 1.724686942531199252e+00, 3.883677573163511365e+00, 1.748605571310998252e+00, 5.497641062246319876e+00, 4.746087079163693545e+00, 4.181448646331215713e+00, 5.451340560878232822e+00, 3.746334711817997487e+00, 2.185252553099122697e+00, 5.301930053046569391e+00, 3.261476625985257449e+00, 3.004212764214188702e+00, 3.949167103344206176e+00, 2.677346374879039370e+00
1.867000000000000000e+03, 3.956340847719854281e+00, 4.450536358175844143e+00, 1.662919790971558287e+00, 3.959511209050107006e+00, 1.827277942725137105e+00, 5.419129386287014682e+00, 4.759240428278131319e+00, 4.244557263789642931e+00, 5.349468311756444550e+00, 3.714820575853972073e+00, 2.262347808491936618e+00, 5.255400067036664957e+00, 3.053715712879532695e+00, 2.989770949573812953e+00, 3.454067651972610342e+00, 2.704754219246516378e+00
1.868000000000000000e+03, 4.113042198950147998e+00, 4.294275814876366226e+00, 1.637901744995968079e+00, 4.085492275680718599e+00, 1.876729269465927441e+00, 5.528123310879390573e+00, 4.533668170121562646e+00, 4.232209962053111951e+00, 5.020154910039853036e+00, 3.907935086526891588e+00, 2.210412655273186200e+00, 4.976596031689505928e+00, 3.321060278918538167e+00, 3.332922411719561939e+00, 3.873920422160670007e+00, 2.690661178819981458e+00
1.869000000000000000e+03, 3.940737599364948274e+00, 4.636403237253245102e+00, 1.564083346412697528e+00, 3.944778301976520574e+00, 1.784744910272961338e+00, 5.590457319522088575e+00, 4.642953875219299142e+00, 4.133386205698461602e+00, 5.359591900289458977e+00, 3.761007058340243958e+00, 2.282137627388957313e+00, 5.143750603815204769e+00, 3.148722083689032392e+00, 3.019914631966728713e+00, 3.551948783323529035e+00, 2.618815045127283359e+00
1.870000000000000000e+03, 3.824191968154358356e+00, 4.545831590382761078e+00, 1.576334679447095155e+00, 3.978803037856750713e+00, 1.764220995995093633e+00, 5.329017450338851880e+00, 4.905520428114835241e+00, 4.387029413950100931e+00, 5.176949862034030403e+00, 3.508041898738362363e+00, 2.184597765032749717e+00, 5.160440341265617903e+00, 3.334563365681331604e+00, 3.142834856025310764e+00, 4.156398737391953091e+00, 2.618838376837117288e+00
1.871000000000000000e+03, 3.972502329363305940e+00, 4.857600403036540726e+00, 1.602106355890206890e+00, 4.011229307054808402e+00, 1.782886661551267959e+00, 5.461561014208505149e+00, 4.763060436737702297e+00, 4.535277328860122026e+00, 5.467218896704816089e+00, 3.687672986144596265e+00, 2.465361964343187218e+00, 4.884979507782472474e+00, 2.987988577758728059e+00, 3.085613563209856913e+00, 3.798920757398277281e+00, 2.673000951979875417e+00
1.872000000000000000e+03, 3.910293727037383427e+00, 4.498599152110322130e+00, 1.581722002598317411e+00, 3.886026562326421629e+00, 1.740375691912518175e+00, 5.553492207014414817e+00, 4.860030400155984864e+00, 4.320554770198001826e+00, 5.199256064546598388e+00, 3.587108385906812913e+00, 2.562407665051131378e+00, 5.177873201763091515e+00, 2.974858805899192049e+00, 3.119600633066451856e+00, 3.724057464171404597e+00, 2.708994065086087311e+00
1.873000000000000000e+03, 3.933863446440543754e+00, 4.527528494400466563e+00, 1.574037233484565146e+00, 3.909197681870580698e+00, 1.706583266856548597e+00, 5.335631647812233425e+00, 4.398764256334323441e+00, 4.443758151652510868e+00, 5.264790859215826124e+00, 3.519220621472387123e+00, 2.561257868772524038e+00, 5.169220772189149216e+00, 3.364454717181652565e+00, 3.059041012607982779e+00, 3.771418183580587780e+00, 2.733958048609014480e+00
1.874000000000000000e+03, 3.681165558048633546e+00, 4.356531372210451281e+00, 1.611787071881202404e+00, 3.788380462548929462e+00, 1.757480457560656628e+00, 5.191095115407739158e+00, 4.348435698160209029e+00, 4.149449776046369109e+00, 5.084121731630570906e+00, 3.640056665544528780e+00, 2.665881346614920044e+00, 5.321686499358719402e+00, 3.051565567788042888e+00, 3.005577957896015562e+00, 3.754970564805086841e+00, 2.758910838020365741e+00
1.875000000000000000e+03, 3.946707215102468691e+00, 4.577841151514106421e+00, 1.671420419548374614e+00, 3.816154726172275691e+00, 1.829197218613727527e+00, 5.564427879361809381e+00, 4.471071375278692805e+00, 4.485891621533531826e+00, 5.165550623359248306e+00, 3.733353493774656418e+00, 2.252003201129013199e+00, 5.225422281350485143e+00, 3.252305851553110916e+00, 3.312998261636180164e+00, 3.714366592851076287e+00, 2.701752509929248092e+00
1.876000000000000000e+03, 3.834369027888014259e+00, 4.570302031831828593e+00, 1.693159199380424251e+00, 3.977747678557876476e+00, 1.776983616462672222e+00, 5.474288551971373984e+00, 4.599761508620737516e+00, 4.215226064114874660e+00, 5.090830110393862462e+00, 3.358986008446341653e+00, 2.112797541343361729e+00, 5.283751066040684563e+00, 3.366392499237754521e+00, 3.221070363403987447e+00, 3.677638454863993100e+00, 2.638268712280501305e+00
1.877000000000000000e+03, 4.131374568231359845e+00, 4.670299710921062442e+00, 1.707367901201469751e+00, 3.853414958928914391e+00, 1.794169817398427291e+00, 5.437364072294061934e+00, 4.573494998326319561e+00, 4.378616351649809779e+00, 5.233656023616146236e+00, 3.514602044607340936e+00, 2.077708279569558503e+00, 5.137774239527717057e+00, 3.601891991361291456e+00, 3.381901823657836648e+00, 3.606039927832763503e+00, 2.673460482114893288e+00
1.878000000000000000e+03, 3.957867324578575818e+00, 4.687568782920667587e+00, 1.683707839041292509e+00, 4.065159127529793359e+00, 1.805070554276002159e+00, 5.645757988626169066e+00, 4.847360093590473262e+00, 4.378820916183864931e+00, 5.090399308930746436e+00, 3.755545117105578701e+00, 2.173135773527045789e+00, 5.288393594668526099e+00, 3.138349310871571429e+00, 3.438502456391449691e+00, 3.919449584616710336e+00, 2.709658902504288758e+00
1.879000000000000000e+03, 3.777277433002663276e+00, 4.455144882951147522e+00, 1.713274598492409151e+00, 4.020142965953086289e+00, 1.800407052399508157e+00, 5.482261232512415816e+00, 4.592096662314247624e+00, 4.079414024262327132e+00, 5.290825823359214475e+00, 3.546662829147184670e+00, 1.851027140829638373e+00, 5.391620687990886118e+00, 3.338872813246188453e+00, 2.948007335096361370e+00, 3.886025651446135321e+00, 2.677469159536765897e+00
1.880000000000000000e+03, 4.033142766979934457e+00, 4.449108110682423067e+00, 1.665322119604730533e+00, 3.796479902074538337e+00, 1.759134753746500524e+00, 5.156051527346798835e+00, 4.827379400192496561e+00, 4.079890191440894043e+00, 5.218548824920566709e+00, 3.303337572554831070e+00, 2.171780739416069306e+00, 4.951884986105075548e+00, 3.207939822851195277e+00, 3.234655311986669002e+00, 3.601317754392832970e+00, 2.685088531288290614e+00
1.881000000000000000e+03, 3.896106617822229889e+00, 4.633265585433171907e+00, 1.604873802337388966e+00, 3.898245019898886721e+00, 1.826482350816594158e+00, 5.825004229768899755e+00, 4.599970564563226283e+00, 4.467967192421669509e+00, 5.092745905699572972e+00, 3.465646578324826255e+00, 1.993810686461292114e+00, 4.916884807708188809e+00, 3.195963382210794013e+00, 3.239024748423575240e+00, 4.025935014417591162e+00, 2.607399716965503877e+00
1.882000000000000000e+03, 3.920515894640884014e+00, 4.203637257810801664e+00, 1.660997520929455851e+00, 3.987901929146722146e+00, 1.800489268732696990e+00, 5.496117976951823358e+00, 4.459897584894896738e+00, 4.250058865629735116e+00, 5.230456995419758393e+00, 3.537487723779435544e+00, 2.260151058733470553e+00, 4.831582961415398003e+00, 3.273196643845368126e+00, 3.117401133348622899e+00, 4.027725064498320684e+00, 2.668750671261793439e+00
1.883000000000000000e+03, 3.852891276477154570e+00, 4.529951498350774486e+00, 1.634094696588819451e+00, 3.956264814028335852e+00, 1.763849060937542568e+00, 5.359583336625339811e+00, 4.518565985051805178e+00, 4.338970143857274309e+00, 5.416615253373705308e+00, 3.641958978454975515e+00, 2.382617201158839570e+00, 5.040876902727611686e+00, 3.168433410550270057e+00, 3.389295080040393149e+00, 3.959710186562921841e+00, 2.650861745325170826e+00
1.884000000000000000e+03, 3.920288960154381552e+00, 4.505090531535214105e+00, 1.581222284566915715e+00, 3.850470020911450852e+00, 1.746234868840246257e+00, 5.501100150030183933e+00, 4.418917400831304576e+00, 4.014668757115907205e+00, 5.170684288028003728e+00, 3.458432385393491071e+00, 2.527105689480519946e+00, 4.842876950704940064e+00, 3.157810988133752605e+00, 3.310599446516597766e+00, 3.844081030010789046e+00, 2.680802982604893803e+00
1.885000000000000000e+03, 3.776123095905186577e+00, 4.372008874459859307e+00, 1.624881614326418866e+00, 3.842065365079404327e+00, 1.780370520577165161e+00, 5.250824663843733475e+00, 4.594312452358689569e+00, 4.221403974438315387e+00, 4.935134925961256691e+00, 3.407384319821576302e+00, 2.366004043242872168e+00, 5.152423086038004918e+00, 3.087786255626811638e+00, 3.269944140589289283e+00, 3.904130828857805824e+00, 2.628345801893195333e+00
1.886000000000000000e+03, 3.899537060747262363e+00, 4.261470491459336429e+00, 1.576476109138467807e+00, 3.949459455702314159e+00, 1.838355391198180921e+00, 5.350702611779541762e+00, 4.397028078829109177e+00, 4.278923964169435656e+00, 5.319331276591543478e+00, 3.578178286021012511e+00, 2.027039172239967435e+00, 5.200357055625962843e+00, 3.006309345725418414e+00, 3.361729532766810635e+00, 3.713648994404885606e+00, 2.650689919143230711e+00
1.887000000000000000e+03, 3.851364451972572489e+00, 4.355862220689094677e+00, 1.612744166978116844e+00, 3.823499423561666166e+00, 1.709254477817323536e+00, 5.117268026197079323e+00, 4.650690322130405896e+00, 4.221077845931996642e+00, 5.295581826767639555e+00, 3.562407460001738357e+00, 1.850360314970052933e+00, 5.070348170331738125e+00, 3.176311566526438757e+00, 3.044126503170593967e+00, 3.888200617892644040e+00, 2.582019997091549612e+00
1.888000000000000000e+03, 3.866519598014968029e+00, 4.475222382590167136e+00, 1.630477946113761734e+00, 3.976969681250870359e+00, 1.783836158572040809e+00, 5.439715094298847475e+00, 4.634268380204713544e+00, 3.986702183702031110e+00, 5.150468206156711304e+00, 3.552500458630349911e+00, 1.889794544489320938e+00, 5.114539545006981491e+00, 3.418146363736058291e+00, 2.999597331708574455e+00, 3.664756301151982143e+00, 2.581907244781008526e+00
1.889000000000000000e+03, 4.048573909118654335e+00, 4.474896291135935122e+00, 1.618763766417736560e+00, 3.773654864089031502e+00, 1.697050849226980462e+00, 5.341756622311716995e+00, 4.654904823800465330e+00, 4.371192239051288730e+00, 5.276628052821439319e+00, 3.687735782301767351e+00, 1.908014763021200544e+00, 5.241162178920025561e+00, 3.149014679845308695e+00, 3.000190482945699344e+00, 3.911107779678595353e+00, 2.649103046435689723e+00
1.890000000000000000e+03, 3.820815018711160693e+00, 4.548577044584531492e+00, 1.676253960314795011e+00, 3.901536581017336136e+00, 1.686172581496857337e+00, 4.994301726424973609e+00, 4.703780013947176819e+00, 3.966354913986307906e+00, 5.147256606848350735e+00, 3.469077874131686556e+00, 2.260453838180224828e+00, 5.093479451536970792e+00, 3.079069728555988483e+00, 3.027731885378622589e+00, 3.551714143260645162e+00, 2.662597652965358996e+00
1.891000000000000000e+03, 3.977778956070220140e+00, 4.504557672128652435e+00, 1.579822469963171105e+00, 3.919085997338190630e+00, 1.710236716165637327e+00, 5.118939570642206505e+00, 4.524759189598613673e+00, 4.170985747541623212e+00, 5.125539719146386730e+00, 3.075389920126065491e+00, 2.136870404246672184e+00, 5.005868493950347720e+00, 2.853260905229722866e+00, 3.160693183725467925e+00, 3.794610174775570055e+00, 2.682021373301792355e+00
1.892000000000000000e+03, 3.783526001939101491e+00, 4.434380461417510411e+00, 1.713954838145603787e+00, 3.715792374886468519e+00, 1.773833587438366388e+00, 5.496572249163855339e+00, 4.417719240138895387e+00, 4.098811458296610866e+00, 5.032825544860910938e+00, 3.365558649215202092e+00, 2.261618192785882719e+00, 5.299043505215974115e+00, 3.174239930171509183e+00, 3.096933825848561916e+00, 3.514531515890201963e+00, 2.645509482101650711e+00
1.893000000000000000e+03, 4.093005002547553950e+00, 4.539142753776562067e+00, 1.736401317719687976e+00, 3.904583373869016771e+00, 1.818312911134300602e+00, 5.508842831566939324e+00, 4.975417266378486580e+00, 3.872793009675203013e+00, 5.342115937231637801e+00, 3.411777647733200691e+00, 1.855779759616696944e+00, 4.911425584556540436e+00, 3.116094785440296722e+00, 3.420130306514483021e+00, 3.500330921756204638e+00, 2.628866126001519365e+00
1.894000000000000000e+03, 3.981714435781793515e+00, 4.728474975747915643e+00, 1.701652627471683887e+00, 3.753267787102269271e+00, 1.731445979509127264e+00, 5.238176966798309131e+00, 4.668848881357671843e+00, 4.410776499212633261e+00, 5.291071991277790154e+00, 3.398751608585147910e+00, 2.550163696028899363e+00, 4.963821857830429174e+00, 3.190573268452019828e+00, 3.460566288329888884e+00, 3.738863685514684398e+00, 2.633551237024264857e+00
1.895000000000000000e+03, 4.025273804083181695e+00, 4.504065548962634224e+00, 1.706296134264736919e+00, 3.849147704410082582e+00, 1.679578376472496082e+00, 5.431441760655676632e+00, 4.699195951766544255e+00, 4.426953819278633517e+00, 5.125679914367250234e+00, 3.218057581576736048e+00, 2.357805871092195193e+00, 5.037497872638025953e+00, 3.077685337662791287e+00, 3.249326686988597945e+00, 3.776473634081156661e+00, 2.600461830279516828e+00
1.896000000000000000e+03, 4.068303821109411800e+00, 4.543396064266006285e+00, 1.745661130351038759e+00, 3.761860002882983611e+00, 1.817944140001435338e+00, 5.107211489244106950e+00, 4.350978829146884941e+00, 4.112785167712616818e+00, 5.310054458294009905e+00, 3.575872801636140075e+00, 2.531938631894985470e+00, 5.068648849018915215e+00, 3.369545369415326341e+00, 3.350360191333042970e+00, 4.084392599348521280e+00, 2.627683299634878455e+00
1.897000000000000000e+03, 3.909491923003143743e+00, 4.447565018368458745e+00, 1.771606003771832638e+00, 4.155049610710841890e+00, 1.672375292385800405e+00, 5.341248306109989130e+00, 4.712177903987668337e+00, 4.417239422591614506e+00, 5.479920067133194905e+00, 3.797569276036436570e+00, 2.669185072967009908e+00, 4.981238114586041377e+00, 3.343280173089348661e+00, 3.328084838049324645e+00, 3.779076783240751247e+00, 2.610093004810647876e+00
1.898000000000000000e+03, 3.937496593972830805e+00, 4.295076188876446821e+00, 1.653201146179906766e+00, 3.843888389158801822e+00, 1.706001006914628304e+00, 5.467615718494699628e+00, 4.801060808586168349e+00, 4.144201158601145352e+00, 5.400072170058518140e+00, 3.572723190491780887e+00, 2.726844987046374680e+00, 5.337089773290018435e+00, 3.346909250446402861e+00, 3.575681767619461215e+00, 3.841279377187666100e+00, 2.675011594107570279e+00
1.899000000000000000e+03, 3.969708628571765541e+00, 4.475575787868068645e+00, 1.767016094880914379e+00, 4.022283322116363635e+00, 1.705676434633173866e+00, 5.470619351589593116e+00, 4.833732353514175628e+00, 4.380478815383654911e+00, 5.515718117671471354e+00, 3.732453569447190755e+00, 2.621065685468707329e+00, 4.948354603514255601e+00, 3.311687006396541122e+00, 3.229384580187364406e+00, 3.859036195887016518e+00, 2.637356401945718076e+00
1.900000000000000000e+03, 3.967061504651627768e+00, 4.466454056838540687e+00, 1.690965982405743029e+00, 3.972577249072600125e+00, 1.781838604445059149e+00, 5.144467057529714893e+00, 4.376814431257881388e+00, 4.234001327593283293e+00, 5.369436334877162764e+00, 3.494113166380585334e+00, 2.724468958281308861e+00, 5.001089890811016403e+00, 3.295519835614397319e+00, 3.393932159773408674e+00, 3.647635715306662973e+00, 2.638100172436223190e+00
1.901000000000000000e+03, 3.893692769575074042e+00, 4.742305734791544047e+00, 1.646278464242883599e+00, 3.838581211963607576e+00, 1.678542961205504280e+00, 5.348650838806364050e+00, 4.630153692981483715e+00, 4.447265810326487490e+00, 5.474507864225299336e+00, 3.698385634880921646e+00, 2.689596197069716421e+00, 4.929955705548077383e+00, 3.129299443525726421e+00, 3.323635995855066749e+00, 3.682212979089042992e+00, 2.636817726445807697e+00
1.902000000000000000e+03, 4.088698758115535625e+00, 4.906061184246903295e+00, 1.599258118509140125e+00, 4.068541421626433952e+00, 1.744209400794979548e+00, 5.402756271714585168e+00, 4.931845105903613025e+00, 4.344465256131283759e+00, 5.386693871496061270e+00, 3.723553389391519364e+00, 2.800233619249842043e+00, 5.045152648151768560e+00, 2.803005716214570953e+00, 3.250580349652669732e+00, 3.844819559902238115e+00, 2.690993480193041520e+00
1.903000000000000000e+03, 4.072542108197081845e+00, 4.285408268667205256e+00, 1.569497117422500754e+00, 4.191080969783842036e+00, 1.634543673764651928e+00, 5.298034812475404642e+00, 4.676787454209571315e+00, 3.587635325681093779e+00, 5.010624458602221942e+00, 3.401240666878237118e+00, 2.420759800695002628e+00, 4.937385426621014872e+00, 3.145056823676697366e+00, 2.821442723320461088e+00, 3.556433327292964020e+00, 2.577620625385081965e+00
1.904000000000000000e+03, 3.857242175293272624e+00, 4.580065156619133049e+00, 1.633462397835662383e+00, 3.874644334232921317e+00, 1.653587294028062260e+00, 5.224008674978916744e+00, 5.068157566634759803e+00, 4.402856584412957019e+00, 5.150427364993003465e+00, 3.760384803606165338e+00, 2.417905679097041016e+00, 5.012816925533800649e+00, 3.016858923405602688e+00, 3.261057407590947754e+00, 3.888706774897482621e+00, 2.668261019437396353e+00
1.905000000000000000e+03, 3.972403655311817161e+00, 4.270936468315712276e+00, 1.627342198677252716e+00, 3.979531063788984913e+00, 1.708604956992287427e+00, 5.374145464797097205e+00, 5.014198215966700900e+00, 4.269591726581689173e+00, 5.330350440898832254e+00, 3.651282744473677955e+00, 2.342165667886398683e+00, 5.134408751216306577e+00, 3.246162325502367274e+00, 3.267350765985827632e+00, 3.786957072045147754e+00, 2.640479673150224027e+00
1.906000000000000000e+03, 3.993804723515492316e+00, 4.615003359364759916e+00, 1.666714893144312537e+00, 3.840582113929448038e+00, 1.731887702517771910e+00, 5.336379461833750781e+00, 4.602298576426928634e+00, 4.469370091031133363e+00, 5.428149636501090392e+00, 3.673923100020753729e+00, 2.178047817867786673e+00, 4.983721708255946403e+00, 3.193081589677505328e+00, 3.029708451837236360e+00, 3.750665876505961283e+00, 2.801571948986583571e+00
1.907000000000000000e+03, 4.043468982646968080e+00, 4.638518097455845535e+00, 1.624200605770425687e+00, 3.922784487674870757e+00, 1.700679616521584059e+00, 5.763613228803575517e+00, 4.714411038322018577e+00, 4.096489905730967607e+00, 5.325438890225646205e+00, 3.466573538160206081e+00, 2.308201487210073122e+00, 4.939450834682446612e+00, 3.270212332676289524e+00, 3.317443619098010998e+00, 3.717157930430837975e+00, 2.790432731252811660e+00
1.908000000000000000e+03, 4.067000308048524637e+00, 4.515734871053654231e+00, 1.684974244918878039e+00, 4.127709632820622865e+00, 1.691955888413677389e+00, 5.595828800771798228e+00, 4.851888337299140375e+00, 4.464505346814625852e+00, 5.146206621701635342e+00, 3.271972265694386373e+00, 2.205929018070566183e+00, 5.063253879279856484e+00, 3.513854019911816895e+00, 3.076421427926207652e+00, 3.326244685057095030e+00, 2.638564869167886240e+00
1.909000000000000000e+03, 4.045479400376682300e+00, 4.729768428602019625e+00, 1.798334658553428556e+00, 4.022298561520631033e+00, 1.692884578290462239e+00, 5.351347301851586913e+00, 4.612911507225730290e+00, 4.334066510511866532e+00, 5.448958273568001331e+00, 3.313290356730319353e+00, 2.522494522876519429e+00, 4.985068662596584765e+00, 3.337972495456684285e+00, 3.367400524683169749e+00, 3.842521628753602592e+00, 2.655489185652838646e+00
1.910000000000000000e+03, 4.096483256592509115e+00, 4.567142107563318731e+00, 1.751369006403979078e+00, 4.384765385123793102e+00, 1.669940814855382483e+00, 5.197674406575712780e+00, 4.610926025544879181e+00, 4.293964585351861096e+00, 5.496805154679955230e+00, 3.410618635281903899e+00, 2.301448722872852848e+00, 5.058498073102640546e+00, 3.213429272707462037e+00, 3.231537803567274825e+00, 3.574962699342661310e+00, 2.695159456058962011e+00
1.911000000000000000e+03, 3.995566765104849427e+00, 4.599288684581781972e+00, 1.790389018378226726e+00, 3.932785770994048580e+00, 1.773996739905426612e+00, 5.499966878117824365e+00, 4.862839721674333759e+00, 4.414145829209084937e+00, 5.414961681357477907e+00, 3.704580771773638315e+00, 2.147207926413408074e+00, 4.871963070788861039e+00, 3.020036309317574386e+00, 3.265271961711793125e+00, 3.595832927950049829e+00, 2.736646639172086282e+00
