year, TaiESM1, CNRM-ESM2-1, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-MM, CanESM5, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR
2.041000000000000000e+03, 1.998355114838108459e+00, 2.340138223449085064e+00, 2.343935136110666395e+00, 2.275667344818586901e+00, 2.223115408243503843e+00, 2.101530765208272644e+00, 2.167032693724400438e+00, 2.180312402656286341e+00, 2.593663646522485600e+00, 2.036447756717135515e+00, 2.290757335234589132e+00, 2.326599108725782461e+00, 2.387396443352667319e+00, 2.251529083741144799e+00, 2.078757833451086778e+00, 2.131175840582254732e+00
2.042000000000000000e+03, 1.947173282470419542e+00, 2.427695763162802667e+00, 2.318778015783324431e+00, 2.270405118816612333e+00, 2.190252108049390856e+00, 2.281178818118282603e+00, 2.050846870192456262e+00, 2.179258651365654220e+00, 2.639329490534695566e+00, 2.154259324830706035e+00, 2.390430862221763597e+00, 2.307107834283165904e+00, 2.498188628990847260e+00, 2.151260876361237084e+00, 2.124879506053440004e+00, 2.177074516089805289e+00
2.043000000000000000e+03, 2.169234872010280757e+00, 2.454284871582116168e+00, 2.309202116137533345e+00, 2.324364074845646222e+00, 2.242647215762839430e+00, 2.234488435787209237e+00, 2.039436503839771486e+00, 2.387784866047573562e+00, 2.550351454609061541e+00, 2.038755172568047502e+00, 2.295959722078407150e+00, 2.324197700931009081e+00, 2.456707041980978445e+00, 2.145716731775637154e+00, 2.100844887587252519e+00, 2.205121001180637919e+00
2.044000000000000000e+03, 2.156970381711290408e+00, 2.419397671577967923e+00, 2.378653955346570648e+00, 2.320554184477996440e+00, 2.264032150436879220e+00, 2.261021155488053047e+00, 2.120082572998420734e+00, 2.426869731483157988e+00, 2.615980112767462895e+00, 2.072100684954748306e+00, 2.226357147386634150e+00, 2.349096564078768434e+00, 2.456377556335075152e+00, 2.266498938801717156e+00, 2.074759250867865390e+00, 2.287218209959732018e+00
2.045000000000000000e+03, 2.096117679425585134e+00, 2.400190425161714991e+00, 2.386332058087409003e+00, 2.347095761308854112e+00, 2.204796020543667634e+00, 2.164324193823605746e+00, 2.140821723371710839e+00, 2.106675836564967597e+00, 2.596568317261278569e+00, 2.015232987535622744e+00, 2.284946013774495910e+00, 2.407030458995536915e+00, 2.330010335305160663e+00, 2.144388766401003732e+00, 2.079897491054226943e+00, 2.231953435984798784e+00
2.046000000000000000e+03, 2.081648261518802556e+00, 2.366006028930240479e+00, 2.339378547743416359e+00, 2.340039478398077577e+00, 2.284328278892663544e+00, 2.220331729092604345e+00, 2.172711133268860451e+00, 2.190738510870525513e+00, 2.762195313551339293e+00, 1.974340834413217172e+00, 2.411705201378260721e+00, 2.321483753700242847e+00, 2.381758011989414392e+00, 2.203492499415025119e+00, 1.949713758466788738e+00, 2.297968380673275135e+00
2.047000000000000000e+03, 2.211485202985139065e+00, 2.379282417683150630e+00, 2.326483753067007498e+00, 2.333495389207227433e+00, 2.209288564561513901e+00, 2.263016002190060050e+00, 1.946639456773803234e+00, 2.150601406447517405e+00, 2.683120795948769732e+00, 2.053283009318778163e+00, 2.309129844017046906e+00, 2.365751514532924649e+00, 2.553102471159234277e+00, 2.146246767679602208e+00, 1.951238497410298089e+00, 2.145070898238118584e+00
2.048000000000000000e+03, 2.171708715940033674e+00, 2.284513248262873830e+00, 2.314588770144260899e+00, 2.326352483453561604e+00, 2.161136711402252608e+00, 2.144779980958470222e+00, 2.068584525462244805e+00, 2.296628283656303449e+00, 2.608508023373477869e+00, 2.062074232470602730e+00, 2.462662071383689533e+00, 2.369899044565313861e+00, 2.381920951451369284e+00, 2.208244213729216643e+00, 2.147172942001668083e+00, 2.220805542048026382e+00
2.049000000000000000e+03, 2.037868648484648659e+00, 2.359160908384221322e+00, 2.447325911567995060e+00, 2.386050491836528842e+00, 2.192779689311383340e+00, 2.213214972284456739e+00, 2.126356130385922416e+00, 2.322345333067663997e+00, 2.761675697998362100e+00, 1.935247585742820187e+00, 2.322716199666379211e+00, 2.306696737178357104e+00, 2.374747771122319495e+00, 2.121979872229599273e+00, 2.101612064712973016e+00, 2.295107424191048739e+00
2.050000000000000000e+03, 2.048700472937572403e+00, 2.292687819014112005e+00, 2.290029642320579928e+00, 2.414172532285376871e+00, 2.250837205876109248e+00, 2.126036446529850021e+00, 2.107544041116047318e+00, 2.265125656580582181e+00, 2.637771849665038193e+00, 1.957623113249995050e+00, 2.369059493075638123e+00, 2.320154558509889942e+00, 2.338045273843896599e+00, 2.266504620134832670e+00, 2.018834169627072850e+00, 2.123111006966414749e+00
2.051000000000000000e+03, 2.166068171244079021e+00, 2.345086514066952788e+00, 2.321525532542878079e+00, 2.287362255258017729e+00, 2.310978042783749853e+00, 2.246753772163128549e+00, 2.220017354503442508e+00, 2.238033761613107409e+00, 2.685943197820383155e+00, 2.050687638474623320e+00, 2.378057208457979854e+00, 2.312709803769522399e+00, 2.277339954457984650e+00, 2.143922815672938853e+00, 1.980921427442175586e+00, 2.376415361579195640e+00
