year, CNRM-ESM2-1, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L
2.038000000000000000e+03, 6.954607925139035274e+01, 5.888989710377983755e+01, 1.067232384540111312e+01, 2.106883960960682600e+01, 5.507790385841502001e+01, 7.360191631058039974e+00, 1.207308606910011051e+01, 1.810457755480686970e+01, 7.250205317104135183e+00, 7.735771461014937955e+00, 2.159232096416732638e+00, 1.019233181652874798e+01, 7.559496690096560201e+01
2.039000000000000000e+03, 6.976292303841751163e+01, 5.889123392103100230e+01, 1.064084641090343553e+01, 2.120496209576379698e+01, 5.526647408741035861e+01, 7.419349728087165197e+00, 1.187105917374937825e+01, 1.813463226662866035e+01, 7.507995597427114198e+00, 7.725288540556796590e+00, 1.740923198250674320e+00, 1.050035148304906230e+01, 7.592682320994762790e+01
2.040000000000000000e+03, 6.967755152924186746e+01, 5.896667649260611910e+01, 1.063562736320986346e+01, 2.124632733992493172e+01, 5.532286674060893716e+01, 7.398575173798846549e+00, 1.204272300845013177e+01, 1.856859001842986956e+01, 7.510960208911479974e+00, 7.605072009393635035e+00, 1.793840712951188410e+00, 1.091535045261072234e+01, 7.625276915875360828e+01
2.041000000000000000e+03, 6.977288800312065575e+01, 5.909118526477154631e+01, 1.065428402401933639e+01, 2.131861547455770634e+01, 5.540008346484310664e+01, 7.406559361115955475e+00, 1.217562893485487052e+01, 1.848671178217990629e+01, 7.412965565235364096e+00, 7.692562346825443598e+00, 1.857570234426521472e+00, 1.098246258340186188e+01, 7.642161278791375878e+01
2.042000000000000000e+03, 7.006313883927732888e+01, 5.908274254765421318e+01, 1.072668089772510314e+01, 2.131999300486567606e+01, 5.542267787821310066e+01, 7.549448755658519694e+00, 1.223941447730329379e+01, 1.846485348949801164e+01, 7.186333477070159681e+00, 7.723872575533648366e+00, 2.392749827608013469e+00, 1.131865571070747301e+01, 7.646316496719323652e+01
2.043000000000000000e+03, 7.008964508904716695e+01, 5.919394474418114527e+01, 1.081186716359507116e+01, 2.140518895888040163e+01, 5.565498323959823779e+01, 7.596651447733576923e+00, 1.210298220113844536e+01, 1.850507529293625097e+01, 7.240382954640097068e+00, 7.741349205791631327e+00, 1.859376414461574978e+00, 1.051109619619017366e+01, 7.659611049109462044e+01
2.044000000000000000e+03, 7.062789112792538049e+01, 5.922326003775989278e+01, 1.083952928837609697e+01, 2.142104670159937996e+01, 5.572249977059637160e+01, 7.653963800757870750e+00, 1.196906168815692872e+01, 1.863685798997751064e+01, 7.332563585692346564e+00, 7.738399585361982247e+00, 1.706710812721144110e+00, 1.089934711651324051e+01, 7.691993842218039390e+01
2.045000000000000000e+03, 7.098526543356071272e+01, 5.928191114481732882e+01, 1.088630711037283660e+01, 2.153766447691483421e+01, 5.591734635382199770e+01, 7.688084051697542165e+00, 1.204997875880639668e+01, 1.864480010472833627e+01, 7.470243281691317350e+00, 7.788502236419187597e+00, 1.760403299097296648e+00, 1.126158203192018981e+01, 7.703767147881684707e+01
2.046000000000000000e+03, 7.082525525306725456e+01, 5.928237845258223615e+01, 1.085236448607515491e+01, 2.153572004018420571e+01, 5.606372187502211091e+01, 7.458790577489706308e+00, 1.208523219174812802e+01, 1.849669063799206725e+01, 7.483221301536329584e+00, 7.776714401074038108e+00, 2.083174756184693166e+00, 1.176385875591719632e+01, 7.702021109631638751e+01
2.047000000000000000e+03, 7.103059612258792299e+01, 5.936113241204112967e+01, 1.074567002740990596e+01, 2.168974813480426178e+01, 5.627558896450911874e+01, 7.639450651138052883e+00, 1.227702328682307531e+01, 1.847864712352966876e+01, 7.498456178540624961e+00, 7.726235705127979969e+00, 1.913678329763490282e+00, 1.087792929243861906e+01, 7.722711762167938332e+01
2.048000000000000000e+03, 7.156052142766198187e+01, 5.940896375481838021e+01, 1.074837895622759021e+01, 2.173629139267287513e+01, 5.640084412883960141e+01, 7.833225611839425007e+00, 1.199508313849838181e+01, 1.833559358939110240e+01, 7.435103201491744862e+00, 7.754121088062140288e+00, 1.868109909658071777e+00, 1.075314989530675547e+01, 7.758187849779358203e+01
2.049000000000000000e+03, 7.150534136346374225e+01, 5.935790049529195755e+01, 1.077956067058484280e+01, 2.165218407978095527e+01, 5.642601183925589226e+01, 7.624927876901547386e+00, 1.201744558679678576e+01, 1.840094533043232516e+01, 7.353957760028600354e+00, 7.914256128373964749e+00, 2.234846274248982745e+00, 1.039650523428880113e+01, 7.776695565392891751e+01
2.050000000000000000e+03, 7.191372815358430159e+01, 5.954145463111551351e+01, 1.067049226502244430e+01, 2.179322539190733465e+01, 5.681601147989311329e+01, 7.574570004902893672e+00, 1.221608083943479528e+01, 1.839259512453488554e+01, 7.420451240077493793e+00, 7.966140818164865856e+00, 2.081048801883758070e+00, 1.094115352111451678e+01, 7.777330412898831469e+01
2.051000000000000000e+03, 7.230343925250421933e+01, 5.941282533619873618e+01, 1.058786787096614823e+01, 2.187842023031688754e+01, 5.694759541776274148e+01, 7.483778992026941523e+00, 1.224874269124811832e+01, 1.836278929832318596e+01, 7.776909203706420470e+00, 7.688832288152099181e+00, 1.560413561454825571e+00, 1.114042887553270944e+01, 7.775993634714748737e+01
2.052000000000000000e+03, 7.245701131879576451e+01, 5.943283700789630331e+01, 1.058059057079112897e+01, 2.198598046141723827e+01, 5.703613570306796987e+01, 7.590636152566323069e+00, 1.252939647849142624e+01, 1.881511136975918319e+01, 7.810089056190424373e+00, 7.799057083840767568e+00, 1.693669123787122865e+00, 1.045828382566908132e+01, 7.799906701291418187e+01
