year, MIROC-ES2L, UKESM1-0-LL, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR
2.070000000000000000e+03, 2.824618851659995489e+00, 1.126002851099330571e-01, 1.601803462345007034e+00, 2.376479176637888546e+00, 1.415270437166133988e-01, 3.168680484410131726e+00, 1.616714748199754359e+00, 9.788663735465810700e-02, 7.790473337637897622e-01
2.071000000000000000e+03, 2.833488058753408367e+00, 1.070561491254968661e-01, 1.602423571333630115e+00, 2.381877716141267420e+00, 1.406792209002222793e-01, 3.180572605361913219e+00, 1.613920638798723495e+00, 9.671701761971558675e-02, 7.784179254058245512e-01
2.072000000000000000e+03, 2.839612938393967223e+00, 1.036828948465635114e-01, 1.601397188977144115e+00, 2.374689802371755754e+00, 1.398356202769586165e-01, 3.183981332690315913e+00, 1.610720708040521254e+00, 9.602318574345028446e-02, 7.774341992091098330e-01
2.073000000000000000e+03, 2.841775705079757408e+00, 1.024949432722593867e-01, 1.580781904127509963e+00, 2.372966560787695744e+00, 1.388962325498656614e-01, 3.188134473007989467e+00, 1.606981662440715830e+00, 9.543365168421180655e-02, 7.778617396955653795e-01
2.074000000000000000e+03, 2.842511583923224894e+00, 1.028046432403190158e-01, 1.595509362254852403e+00, 2.375041547960258459e+00, 1.378854763709047859e-01, 3.192851463850506555e+00, 1.602997063023379187e+00, 9.511967275987445736e-02, 7.786371289737245016e-01
2.075000000000000000e+03, 2.853119171286705225e+00, 1.023430245462148280e-01, 1.632595598680941062e+00, 2.366872968771664976e+00, 1.375224701539051464e-01, 3.194389232194100536e+00, 1.598875128194015005e+00, 9.509459498371544695e-02, 7.793669417848237968e-01
2.076000000000000000e+03, 2.859696361516725460e+00, 9.857792006888869973e-02, 1.643077911119027901e+00, 2.360565525301650425e+00, 1.341607261770129678e-01, 3.210122454011349102e+00, 1.594607567357598343e+00, 9.533677108706031800e-02, 7.822983135634981045e-01
2.077000000000000000e+03, 2.857842280958580616e+00, 9.645752791957583339e-02, 1.646847210526141803e+00, 2.351164907096351619e+00, 1.315006174699159258e-01, 3.200087948309186636e+00, 1.590652071528681377e+00, 9.610532972625625281e-02, 7.852760869250359210e-01
2.078000000000000000e+03, 2.860239816468722385e+00, 9.735960936837989577e-02, 1.681452196613043126e+00, 2.347945151013927312e+00, 1.291152221572603731e-01, 3.192673928276694273e+00, 1.586540591981274284e+00, 9.727171314821655979e-02, 7.878552812402900285e-01
2.079000000000000000e+03, 2.865999045118869937e+00, 9.919742831126564242e-02, 1.683197620759376623e+00, 2.339564454300438356e+00, 1.265360969505047173e-01, 3.186417037591346091e+00, 1.582211921826786494e+00, 9.847731969609674341e-02, 7.907536468186296963e-01
2.080000000000000000e+03, 2.880752968049616225e+00, 9.950255500449597945e-02, 1.670791634327182029e+00, 2.342285181450401321e+00, 1.237792398867711419e-01, 3.180704411182570635e+00, 1.577497229277686985e+00, 9.954627311389831201e-02, 7.936020223860995593e-01
2.081000000000000000e+03, 2.885138258207789796e+00, 9.550528097863239529e-02, 1.680777009472253836e+00, 2.337733265468026289e+00, 1.239580380778734364e-01, 3.183115487519030395e+00, 1.571859726332881957e+00, 9.865830640471247304e-02, 7.893700111624815108e-01
2.082000000000000000e+03, 2.892241521161436513e+00, 9.327766661766215273e-02, 1.700389303431272481e+00, 2.328523066229730265e+00, 1.250864357811227179e-01, 3.180220074774219530e+00, 1.566456975094248971e+00, 9.790513341846628081e-02, 7.851332768511194438e-01
2.083000000000000000e+03, 2.897453143033405176e+00, 9.167012628376135230e-02, 1.696288422380872074e+00, 2.319970905163590391e+00, 1.261750264349270900e-01, 3.177919566192728862e+00, 1.561575475481030484e+00, 9.724779688338315575e-02, 7.809899387622443179e-01
2.084000000000000000e+03, 2.896437268837857015e+00, 9.091921993458380868e-02, 1.688338815765794587e+00, 2.302866190984208750e+00, 1.270753813222659234e-01, 3.176340718240586725e+00, 1.556784615330595090e+00, 9.688275510695043558e-02, 7.768954440786235427e-01
2.085000000000000000e+03, 2.895671438106462769e+00, 9.113397453505062140e-02, 1.674038900689220899e+00, 2.278711947740718724e+00, 1.278201955874238294e-01, 3.170725009638322156e+00, 1.552992302174310835e+00, 9.687136677999839962e-02, 7.732017631741034958e-01
2.086000000000000000e+03, 2.900076049064767236e+00, 8.750938349340584010e-02, 1.682846605308880195e+00, 2.282319969680867811e+00, 1.276103493641317366e-01, 3.164184450793314340e+00, 1.550118162578301151e+00, 9.552705504869085651e-02, 7.737136401316818679e-01
