year, MPI-ESM1-2-LR, TaiESM1, NorESM2-LM, CanESM5, INM-CM5-0, CESM2-WACCM, GFDL-ESM4, CNRM-ESM2-1, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L, UKESM1-0-LL, INM-CM4-8
2.030000000000000000e+03, -9.373243112277697409e-02, 3.092212331975531248e-01, 3.517604615339605667e-01, 3.782379947612209969e-01, -1.044258494225625694e-01, 1.298029159040585412e-01, 4.987064048849015885e-01, 5.408179954369475295e-01, -1.925217580755292923e-01, 2.693566762875607701e-01, -4.684446983082119487e-01, 8.764059446016410071e-01, 1.181118027807567528e-01, 4.640606311259852790e-01, 1.756093967833801950e-01, 2.195298238807107394e-01
2.031000000000000000e+03, 3.841693433680626879e-01, -7.641804267289253882e-01, 5.271270467012164618e-01, 3.435667782046648022e-01, 4.938244003376001667e-01, 7.051264784773538796e-01, 6.394337581879202537e-01, 7.982614547231645652e-01, 3.667458066520991045e-01, -3.412678054152469553e-02, 6.264742130323585068e-01, 7.896684064468025843e-01, 3.197686913934906228e-01, 1.061732497885023108e+00, 2.064120406209960512e-01, 1.026744799720039625e-01
2.032000000000000000e+03, 3.650678079067875004e-01, -6.477823205311748767e-02, 3.006439411025107478e-01, 4.466422571593151036e-01, 3.433298114896100178e-02, 7.018855445105252056e-01, 1.572029896259841963e-01, 3.384265620444653483e-02, 4.433021723662405877e-01, 1.122652262669803225e+00, 3.346331829410672531e-01, 7.451407901819874224e-01, 5.802807791068717025e-01, 2.721570772260281101e-01, 4.773811077896884525e-01, 2.895168277764720854e-01
2.033000000000000000e+03, 4.648863156130551566e-01, -7.716937248568234153e-02, 2.656949986845970613e-01, 4.771301486456046015e-01, -1.260480681908162093e-01, 3.768376040280004835e-01, 2.763364372887012754e-01, 1.153867927266934990e+00, 7.408685573225401999e-01, 5.305180833857576356e-02, 2.461837823091601041e-01, 8.246219420281825085e-01, 3.975169451218934502e-01, 2.069628157427367832e-01, 1.506597389176960455e-01, -1.896108157473199718e-01
2.034000000000000000e+03, 1.248304334326225395e-01, 1.653070662082409270e-01, 2.876603123542193496e-01, 3.959145344181828063e-01, 3.196833766039672287e-01, 5.483216608663209479e-01, 4.414290438810665185e-01, 4.798149950823568100e-01, -6.703916346543351557e-01, 8.952209899041960739e-01, -2.319764615829136845e-01, 8.557645570252310208e-01, 2.337493796456622808e-01, 4.028158578597339501e-01, 3.986021230817640704e-01, -5.320307904538980337e-02
2.035000000000000000e+03, -8.132091092944114530e-02, 6.676232502440536676e-01, 1.626354168760188457e-01, 7.076484678809855655e-01, 4.943252709299467140e-01, 4.632760439325481205e-01, 2.700371742086984939e-01, 9.239665184514164187e-01, -1.189167364327508615e-02, 2.622705166673944821e-01, 3.742930340661010935e-01, 9.267807253620566899e-01, 3.374880681854027786e-01, 5.118272254473061889e-01, 1.957915386569593075e-01, 1.100790242007255948e+00
2.036000000000000000e+03, 3.813928677423067959e-01, -3.622086123569717153e-01, 3.788876098100260603e-01, 3.046485995102498068e-01, 8.316360351354297464e-02, 5.634317687756145165e-01, 6.454695457194568053e-01, 9.065673679122250306e-01, 1.137337701059851214e-01, 8.846816907228625126e-01, 9.586749610663793109e-02, 6.730262806239323270e-01, 4.144995187480121079e-01, 8.687602615596994038e-02, 3.415205378737597997e-01, 8.198723406822859550e-02
2.037000000000000000e+03, 2.167752010973644228e-01, -4.621809813628376951e-01, 4.680882010665690096e-01, 4.799624489399634264e-01, 4.744698782084009747e-01, 7.071568379969933593e-01, 6.613518901543279371e-01, 1.149044901316763845e+00, 1.766827878119806017e-01, -6.379046451882225410e-02, 2.722892774604485089e-01, 7.754866580862458392e-01, 5.466877167279602379e-01, 4.558192477586939240e-01, 2.062303109392558398e-01, 9.843773481680512250e-01
2.038000000000000000e+03, 2.378117129833907939e-02, -5.558463667924716800e-01, 4.359246057952562703e-01, 1.251192941987655238e-01, 5.196256641915331098e-01, 6.185996094034208470e-01, 7.126201693916338342e-02, 1.003343874101023658e+00, 8.061069448092242906e-01, 3.700113363320908233e-01, 1.072531770742572860e-01, 9.475466457006980203e-01, 4.405255188610420758e-01, 9.674455152160328364e-01, 7.246715579805023122e-01, 8.859425942876322235e-01
2.039000000000000000e+03, 6.155497813939599938e-01, 6.924074448920499725e-01, 3.088630488389087492e-01, 8.744163569553872195e-01, 2.731692124162427571e-01, 5.682053727261060505e-01, 2.509762839320691663e-01, 6.105208663169012784e-01, 9.913295466913792098e-02, 9.205110179616429189e-01, 1.565612768206646466e-01, 7.290001752433414861e-01, 2.227621991409029223e-01, 7.835133475447996210e-01, -8.668138589874935240e-02, 9.506761214963358464e-01
