year, GFDL-ESM4, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, NorESM2-LM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CanESM5, CMCC-ESM2, CESM2-WACCM, MPI-ESM1-2-LR
2.035000000000000000e+03, 2.078335700263016506e+00, 2.354814008116792756e+00, 1.590615719747589418e+00, 1.314992612872017297e+00, 1.673416874364228812e+00, 1.217779889421842565e+00, 1.699780526457993490e+00, 1.632737077861806441e+00, 1.329125351135153066e+00, 1.756439951646165065e+00, 1.183701483963952361e+00, 1.284107101809230267e+00, 1.256703790924635911e+00, 2.181992557277149913e+00, 1.393840580844391663e+00, 1.363819049808745021e+00
2.036000000000000000e+03, 2.124983326122597660e+00, 2.371761774686597768e+00, 1.559541614174190904e+00, 1.330345533762731680e+00, 1.650450975009186916e+00, 1.233053260358249359e+00, 1.639179278376676763e+00, 1.651818245242584693e+00, 1.372485261004307899e+00, 1.834792747806036628e+00, 1.199240120147429645e+00, 1.241686620263723340e+00, 1.239595451189103192e+00, 2.370095038306681889e+00, 1.398196285728985133e+00, 1.404234945424309711e+00
2.037000000000000000e+03, 2.190054492663248364e+00, 2.378312794715264022e+00, 1.580716643761532758e+00, 1.339938246376505715e+00, 1.621719251236928727e+00, 1.237440429060899127e+00, 1.757840817433517167e+00, 1.660071641607915538e+00, 1.395156993371637899e+00, 1.743188690200216495e+00, 1.201716519677385575e+00, 1.264064769516801467e+00, 1.243575248480500495e+00, 2.366085094005627720e+00, 1.440419353179469342e+00, 1.395369162766399107e+00
2.038000000000000000e+03, 2.134079330051807943e+00, 2.413584774964300461e+00, 1.575732308571305529e+00, 1.348026464456197671e+00, 1.591847387434010441e+00, 1.244565773255325469e+00, 1.675304666146706589e+00, 1.655263013962614105e+00, 1.404357354567290050e+00, 1.543407891318656633e+00, 1.188517295182858868e+00, 1.251693472683105268e+00, 1.243286234575489146e+00, 2.232216277381674718e+00, 1.444000542754537708e+00, 1.351326499615361110e+00
2.039000000000000000e+03, 2.113479401402000857e+00, 2.382334515955168097e+00, 1.593383852201014861e+00, 1.360101491535374185e+00, 1.638430322332275368e+00, 1.244153269311480514e+00, 1.786291513797126473e+00, 1.667673076296376289e+00, 1.373384571249132158e+00, 1.576026858991871782e+00, 1.170798950480988587e+00, 1.246373434688962778e+00, 1.258769912242311495e+00, 2.246691128508740309e+00, 1.462535760916555017e+00, 1.389386636802992570e+00
2.040000000000000000e+03, 2.116566465401984676e+00, 2.392493548139746906e+00, 1.590359537549662194e+00, 1.357528679419236939e+00, 1.615459035448727487e+00, 1.239510728358693470e+00, 1.737272876222450080e+00, 1.654469005421522088e+00, 1.390773125671219468e+00, 1.728361195899261515e+00, 1.177907948733294630e+00, 1.295299416506890289e+00, 1.228598144577017770e+00, 2.199301003240871744e+00, 1.511984029454020106e+00, 1.364525524736228679e+00
2.041000000000000000e+03, 2.101925320924443508e+00, 2.372422909873716179e+00, 1.560408809911566719e+00, 1.378302008049757887e+00, 1.683066729935371653e+00, 1.234840770030648294e+00, 1.676798293628427805e+00, 1.650193397789642580e+00, 1.381298228182894272e+00, 1.797037535204580205e+00, 1.187965576241036159e+00, 1.309546807846059924e+00, 1.268086970488926823e+00, 2.122309329802388955e+00, 1.539382944874664760e+00, 1.387727778783039989e+00
2.042000000000000000e+03, 2.175620975658657308e+00, 2.382167062224096910e+00, 1.570469594110472711e+00, 1.381915259901679516e+00, 1.636353569441530764e+00, 1.272468823937808802e+00, 1.659145355499535457e+00, 1.658231006204863522e+00, 1.412603458434385617e+00, 1.613161576088485871e+00, 1.220577512174399804e+00, 1.298987836942101737e+00, 1.258094662466220148e+00, 2.262550860341667747e+00, 1.497372691139052581e+00, 1.423959968599749049e+00
2.043000000000000000e+03, 2.113732387315291561e+00, 2.401475731133825509e+00, 1.531976627886253661e+00, 1.405511386123053263e+00, 1.605038391072838522e+00, 1.281525241562612605e+00, 1.662122742064027880e+00, 1.677918585045358180e+00, 1.432983773691704377e+00, 1.515604730343689477e+00, 1.201183979626148757e+00, 1.395580499156227061e+00, 1.249497731335661443e+00, 2.232294657355475831e+00, 1.523690770417484908e+00, 1.382843860117646928e+00
2.044000000000000000e+03, 2.128154723321223685e+00, 2.430368204022034906e+00, 1.546700287772423410e+00, 1.383401082077272415e+00, 1.662171268741637231e+00, 1.290606827896698006e+00, 1.770404544434159178e+00, 1.630764723921241721e+00, 1.424003222454704343e+00, 1.752872919542816543e+00, 1.168204832196688914e+00, 1.332045965434534684e+00, 1.266703077516790010e+00, 2.324890102433962102e+00, 1.499922223185300441e+00, 1.393796569729703450e+00
2.045000000000000000e+03, 2.148558580595406831e+00, 2.391877813969446986e+00, 1.569749432778849485e+00, 1.404538287426053467e+00, 1.613665656426935602e+00, 1.254001042759822493e+00, 1.701330808436973374e+00, 1.682275396165385128e+00, 1.438355332862915503e+00, 1.901459236379735129e+00, 1.192061213191856872e+00, 1.290484417434381470e+00, 1.274877436791516550e+00, 2.316539042141588123e+00, 1.496302027359584175e+00, 1.401557595657944022e+00
2.046000000000000000e+03, 2.131810547738101302e+00, 2.417514532335095723e+00, 1.606034621612836277e+00, 1.402785619109787607e+00, 1.661818651919125367e+00, 1.228558518942873157e+00, 1.729767067127875313e+00, 1.733995236382241512e+00, 1.421135005994622835e+00, 1.895776564215203575e+00, 1.194394029495571719e+00, 1.345984273221851435e+00, 1.298557496964914071e+00, 2.305158671230699508e+00, 1.544079734580946273e+00, 1.406356498504705010e+00
2.047000000000000000e+03, 2.181300708961132706e+00, 2.415681539828908875e+00, 1.613915873563417369e+00, 1.430331731252767025e+00, 1.655940865954578456e+00, 1.253587002768830061e+00, 1.690707101195081163e+00, 1.688968429434047680e+00, 1.431143731357413351e+00, 1.846982517436186688e+00, 1.175460863804197231e+00, 1.335485728893729629e+00, 1.310573058567858551e+00, 2.113482300211499076e+00, 1.551320824723358527e+00, 1.403221109926096721e+00
2.048000000000000000e+03, 2.166005642380911755e+00, 2.425033582187380077e+00, 1.556704128472699677e+00, 1.396462871614690515e+00, 1.682594422668629797e+00, 1.274539245310237545e+00, 1.708443914410491260e+00, 1.682410807913535145e+00, 1.462254751189593582e+00, 1.842760183478183711e+00, 1.194649401195788441e+00, 1.272632160424230330e+00, 1.351265537482154500e+00, 2.091516571205056962e+00, 1.510851505485611979e+00, 1.399063089656093384e+00
2.049000000000000000e+03, 2.158151741312455574e+00, 2.432641678184320533e+00, 1.597060012199904344e+00, 1.409586645648123859e+00, 1.619152881711676928e+00, 1.235824384261978048e+00, 1.716287670448561897e+00, 1.697790402444738778e+00, 1.475199387620600211e+00, 1.778574565685730136e+00, 1.207076121942670222e+00, 1.378843211692353687e+00, 1.317104611927837565e+00, 2.373230717248038690e+00, 1.528921719620358832e+00, 1.414458076649657503e+00
2.050000000000000000e+03, 2.132220594996031338e+00, 2.431677278788328955e+00, 1.612208850408634486e+00, 1.414266968888065801e+00, 1.572585805123059899e+00, 1.234561456124110279e+00, 1.736650299801447028e+00, 1.667715191545611653e+00, 1.519843033603623716e+00, 1.623868562878852506e+00, 1.191909846727593036e+00, 1.350368037927679010e+00, 1.343488690785082262e+00, 2.559183391546357544e+00, 1.530254519075052944e+00, 1.391794188925773001e+00
2.051000000000000000e+03, 2.129259483595880020e+00, 2.410926721846774257e+00, 1.635043073896470744e+00, 1.435329664333487631e+00, 1.620345717442498668e+00, 1.217513471665317315e+00, 1.787100419728434586e+00, 1.663738032511040021e+00, 1.459061038285898393e+00, 1.666450728097223832e+00, 1.187311616829500593e+00, 1.295940413395848978e+00, 1.332142822030027762e+00, 2.393172616255816010e+00, 1.574003536202715603e+00, 1.409755771913170364e+00
2.052000000000000000e+03, 2.090482660128085701e+00, 2.472557283101008974e+00, 1.645960617752921129e+00, 1.490906980308965402e+00, 1.643957830470643922e+00, 1.220726955028442973e+00, 1.722572163435797554e+00, 1.680861393695895378e+00, 1.468215405583916722e+00, 1.906815646859743918e+00, 1.197208932988906405e+00, 1.377314363900332239e+00, 1.319087931289818050e+00, 2.088836557837395080e+00, 1.585999619917734638e+00, 1.396150793343785113e+00
2.053000000000000000e+03, 2.199232445399321279e+00, 2.507713218253554643e+00, 1.675155616596660790e+00, 1.515885497714647201e+00, 1.635405923215021984e+00, 1.230520220635353157e+00, 1.735791395408091020e+00, 1.676700870625979611e+00, 1.471962280700630288e+00, 2.024478920539541260e+00, 1.192278649418985870e+00, 1.351123550312200328e+00, 1.344544983264966520e+00, 2.160448160092799608e+00, 1.566286525649037253e+00, 1.407751275852612283e+00
2.054000000000000000e+03, 2.178203723668807434e+00, 2.440000687538556701e+00, 1.663009582701909572e+00, 1.510234255966452777e+00, 1.642947820292319561e+00, 1.255349436933228091e+00, 1.783867706240263917e+00, 1.672237872105890144e+00, 1.488660925462245599e+00, 1.920567258793589804e+00, 1.223088586210074658e+00, 1.289499601295110098e+00, 1.393712400895699144e+00, 2.487789545808864577e+00, 1.559416447653818816e+00, 1.396435772361581673e+00
2.055000000000000000e+03, 2.142351746997587902e+00, 2.446038331208235217e+00, 1.673863402535255007e+00, 1.521890610107768049e+00, 1.630158844305081400e+00, 1.250626135537719730e+00, 1.766701607927626760e+00, 1.710282517625036913e+00, 1.498028716638305502e+00, 1.744082432060823251e+00, 1.235903624400495948e+00, 1.306467296698096581e+00, 1.334469054771410201e+00, 2.600812030878413506e+00, 1.568557901807554389e+00, 1.402713746468099432e+00
2.056000000000000000e+03, 2.153082221445909550e+00, 2.474929106643197763e+00, 1.666058071209990388e+00, 1.556257438648094071e+00, 1.678998871644635349e+00, 1.289447069704654947e+00, 1.796410388432377880e+00, 1.700895857603690553e+00, 1.530077945224251668e+00, 1.710123106820434336e+00, 1.202744948326544439e+00, 1.370136317697222106e+00, 1.309415693030150374e+00, 2.514084528856076695e+00, 1.606583201282513640e+00, 1.438110503981877342e+00
2.057000000000000000e+03, 2.186449762767425753e+00, 2.493904036830784765e+00, 1.691249562517401994e+00, 1.589798854771376391e+00, 1.654895256532412873e+00, 1.332351256934314110e+00, 1.780018059172175482e+00, 1.696768926978567960e+00, 1.529799619115789433e+00, 1.680627343868023926e+00, 1.214363091606729839e+00, 1.344691406465626127e+00, 1.322601822136899363e+00, 2.373966338951752242e+00, 1.661082743857573485e+00, 1.443474702356084771e+00
2.058000000000000000e+03, 2.162935592880339541e+00, 2.527994502251724285e+00, 1.681364312598640831e+00, 1.568641189319357476e+00, 1.659483697757962339e+00, 1.358362537560345640e+00, 1.821222352788603116e+00, 1.669277758347790686e+00, 1.539908280000491736e+00, 1.816744337977952206e+00, 1.250395020538016766e+00, 1.371449575214384708e+00, 1.361420529092133735e+00, 2.290162243650013973e+00, 1.668759077935738411e+00, 1.421646821862687426e+00
2.059000000000000000e+03, 2.167641205047570629e+00, 2.517414301862622050e+00, 1.618041242710448469e+00, 1.547732425862930361e+00, 1.673852202341789219e+00, 1.348473983660896547e+00, 1.789026205579732132e+00, 1.705284703899579757e+00, 1.509368489019438320e+00, 1.860661946630894237e+00, 1.230637035782497390e+00, 1.331400342562102601e+00, 1.358505051854452583e+00, 2.488400655444874765e+00, 1.672716654850415541e+00, 1.422683733391314487e+00
2.060000000000000000e+03, 2.162214114441757928e+00, 2.474553854296242417e+00, 1.642314069520966147e+00, 1.552594851469100146e+00, 1.658800052511404166e+00, 1.371782877736055672e+00, 1.763267150186172971e+00, 1.670372869888451239e+00, 1.537627150185421954e+00, 1.778827341873595813e+00, 1.263063760159376603e+00, 1.393979752769872738e+00, 1.394879375020879220e+00, 2.413177123575615202e+00, 1.653796118697628437e+00, 1.401544947165655586e+00
2.061000000000000000e+03, 2.120825032979748226e+00, 2.479137279430208896e+00, 1.660748672783944224e+00, 1.574338094811194910e+00, 1.668774703246645563e+00, 1.365169016154036186e+00, 1.836291883710224448e+00, 1.669037016455484634e+00, 1.612186734956427392e+00, 1.545041459744343371e+00, 1.213022158703514597e+00, 1.338631693919021037e+00, 1.388003019015581652e+00, 2.364425729944467758e+00, 1.672490724424166908e+00, 1.437183152927139940e+00
2.062000000000000000e+03, 2.193091814408129281e+00, 2.476664121841499533e+00, 1.650367353367506951e+00, 1.584822633323968111e+00, 1.621243704600635827e+00, 1.337977531981695778e+00, 1.858183805140681155e+00, 1.650951907381504435e+00, 1.598505731382325878e+00, 1.624195259107213296e+00, 1.220133078144163719e+00, 1.367888363664460316e+00, 1.394872143123750075e+00, 2.327521506662813433e+00, 1.684748028871232650e+00, 1.423011622331042725e+00
2.063000000000000000e+03, 2.134155707978019123e+00, 2.489997702419584957e+00, 1.664828927317687279e+00, 1.531788610131943340e+00, 1.689328309039316300e+00, 1.333780336714634362e+00, 1.792821653094547552e+00, 1.720515725506518878e+00, 1.573902521794604326e+00, 1.844913334005855221e+00, 1.245885436989343953e+00, 1.405314737589211882e+00, 1.412497959958833205e+00, 2.345540221295833394e+00, 1.730223142400733716e+00, 1.428740857625363958e+00
2.064000000000000000e+03, 2.210979803669848032e+00, 2.537539269485241000e+00, 1.676354614712245450e+00, 1.554699347126199616e+00, 1.657629697812292191e+00, 1.320555925152985921e+00, 1.829149748245264107e+00, 1.695978906113680296e+00, 1.556164014742154933e+00, 1.813836289111875999e+00, 1.247750511104211757e+00, 1.428764952478317030e+00, 1.417799280994338273e+00, 2.534716345180323849e+00, 1.723603699581624182e+00, 1.437433594982733709e+00
2.065000000000000000e+03, 2.206158365543514854e+00, 2.522315872476398990e+00, 1.639013271244527115e+00, 1.550634900075505751e+00, 1.668907676075341850e+00, 1.300145084549800822e+00, 1.886098126261113395e+00, 1.681384311820674382e+00, 1.571592452468906442e+00, 1.789942954102609729e+00, 1.276878802619447750e+00, 1.422781558693007931e+00, 1.407135864494677202e+00, 2.420263770427504291e+00, 1.694815971925796916e+00, 1.463152605055189959e+00
2.066000000000000000e+03, 2.157486712598338130e+00, 2.517200201158754425e+00, 1.696615192777134906e+00, 1.599882416402833130e+00, 1.680733284981265951e+00, 1.304347245737012218e+00, 1.824683132261427865e+00, 1.741730904297720928e+00, 1.640952238415895659e+00, 1.753842494989223511e+00, 1.241290637922602524e+00, 1.348429396526526824e+00, 1.435518225761766686e+00, 2.214203740712440194e+00, 1.713925729457504321e+00, 1.406000741871110904e+00
2.067000000000000000e+03, 2.140506199031537715e+00, 2.507868859491994229e+00, 1.647280154491137960e+00, 1.581584920960528384e+00, 1.715918105480211953e+00, 1.319441340257896167e+00, 1.971218399171911662e+00, 1.704974928579136462e+00, 1.629183422134340642e+00, 1.883158401946602556e+00, 1.256296818002410998e+00, 1.329042307882442042e+00, 1.444477724468156588e+00, 2.353885135320149757e+00, 1.748910666249734236e+00, 1.424662803173452730e+00
2.068000000000000000e+03, 2.092521366113354819e+00, 2.514120770963476303e+00, 1.672856762701539601e+00, 1.588633515485251779e+00, 1.702430792211509614e+00, 1.303418244864005038e+00, 1.900233587006138203e+00, 1.738984525952035121e+00, 1.576819490602579643e+00, 1.862012252622919473e+00, 1.257769966974930487e+00, 1.414051015666500710e+00, 1.464446878734184443e+00, 2.435201481789618594e+00, 1.778059658384281150e+00, 1.423421229352249684e+00
2.069000000000000000e+03, 2.205049963135865543e+00, 2.539115938402694006e+00, 1.672071475964097775e+00, 1.553345354743801865e+00, 1.720961507155766013e+00, 1.300716430518186195e+00, 1.891020289394131249e+00, 1.769045463196643464e+00, 1.603334340181696405e+00, 1.742027225539704904e+00, 1.275195593730705790e+00, 1.447118800852121634e+00, 1.456185061212325493e+00, 2.532004719068356557e+00, 1.799374136492738918e+00, 1.434660431926554125e+00
2.070000000000000000e+03, 2.193798650225156077e+00, 2.575474548384511841e+00, 1.653839996524929745e+00, 1.539768732134233264e+00, 1.749316713213782570e+00, 1.291015999426582406e+00, 1.800505672772978016e+00, 1.709979384778673950e+00, 1.657960427757577238e+00, 1.866363635349990391e+00, 1.259421492971833922e+00, 1.394093753239648015e+00, 1.457396387503545387e+00, 2.619983699638349428e+00, 1.737261689799139308e+00, 1.438589545479377563e+00
2.071000000000000000e+03, 2.138336784910471966e+00, 2.541812033677665728e+00, 1.690423203460599488e+00, 1.589173570462319773e+00, 1.726471648785238289e+00, 1.289162422164209509e+00, 1.881288524470014378e+00, 1.689822307211344743e+00, 1.671334208469838600e+00, 1.874684823913058462e+00, 1.285104271501542827e+00, 1.450456236460939685e+00, 1.450612569507888416e+00, 2.548894695233209440e+00, 1.768683563376574508e+00, 1.472224435530192110e+00
2.072000000000000000e+03, 2.239975234080331834e+00, 2.580585293022374049e+00, 1.713731910477003906e+00, 1.650639164507671897e+00, 1.706537065834252687e+00, 1.284995876632623935e+00, 1.901077917744518508e+00, 1.734733168866597675e+00, 1.691375966712617585e+00, 1.892004757652971492e+00, 1.266224342492811905e+00, 1.422575286949161688e+00, 1.445012112072009636e+00, 2.409277551244043636e+00, 1.780578285760014090e+00, 1.448887301111261294e+00
2.073000000000000000e+03, 2.268975343758879326e+00, 2.566872384908279070e+00, 1.655856277232330198e+00, 1.651686059376691995e+00, 1.721422778158453459e+00, 1.299181311920124982e+00, 1.887133253345604889e+00, 1.677778359712261524e+00, 1.738656009351899900e+00, 1.968417488143943128e+00, 1.270534004575659903e+00, 1.434928484105992386e+00, 1.465761671690299695e+00, 2.536049570130896047e+00, 1.792162035328546565e+00, 1.442660749140981302e+00
2.074000000000000000e+03, 2.268587134922790849e+00, 2.577155179732717905e+00, 1.683171201647491788e+00, 1.658337489172589052e+00, 1.740021271850819451e+00, 1.349567860886805581e+00, 1.885275519125129362e+00, 1.765165545922455559e+00, 1.709662434647911233e+00, 1.858084194439262316e+00, 1.262081834743776554e+00, 1.443538627877117841e+00, 1.445856782427133558e+00, 2.507105565093696864e+00, 1.777958358791875693e+00, 1.458354498579834235e+00
2.075000000000000000e+03, 2.258821506101257537e+00, 2.527045996525229654e+00, 1.698294831074843803e+00, 1.653497863409609137e+00, 1.744321700647329720e+00, 1.368862656227086916e+00, 1.899185221480679697e+00, 1.752738004448185949e+00, 1.717841228244332719e+00, 1.826531134894016084e+00, 1.313352851642037855e+00, 1.388015394629514176e+00, 1.485991322478105836e+00, 2.331263231477209708e+00, 1.790936833953646001e+00, 1.438275675979693524e+00
