year, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR
2.058000000000000000e+03, 6.934359066829888021e-10, 1.226528827834597945e-11, 1.663975366416882177e-10, 1.261299128178801904e-10, 8.072095584750666412e-10, 1.107710581865911625e-09, 7.091817405682688642e-11, 1.923720560516590489e-09
2.059000000000000000e+03, 6.711134333829847084e-10, 1.239352270670638118e-11, 1.659565180865777710e-10, 1.257492928403155528e-10, 8.075957539173834232e-10, 1.108422277745599691e-09, 7.229859853564221787e-11, 1.728041454306961747e-09
2.060000000000000000e+03, 6.588025617653494959e-10, 1.246876717625791227e-11, 1.654459403696927522e-10, 1.256794333918604540e-10, 7.852844523700320732e-10, 1.104186072152418415e-09, 7.367788564004904016e-11, 1.766698022344014974e-09
2.061000000000000000e+03, 7.087696665016840333e-10, 1.062074920347377800e-11, 1.650105644501241306e-10, 1.226681947469461668e-10, 7.808083337786106901e-10, 1.103774534287810565e-09, 7.438453452088929251e-11, 1.878696203693848814e-09
2.062000000000000000e+03, 7.570088726282151117e-10, 1.047973542605366545e-11, 1.646276303017007059e-10, 1.214314533219265642e-10, 7.854355620746569676e-10, 1.106452429171618020e-09, 7.342262838245106161e-11, 1.885654604097580421e-09
2.063000000000000000e+03, 7.385303311261172279e-10, 1.093753762047670752e-11, 1.640749310578003230e-10, 1.199495216682116835e-10, 7.886680982838246444e-10, 1.111095150633104110e-09, 7.231610257859970774e-11, 1.860276819461233703e-09
2.064000000000000000e+03, 7.539725503000104663e-10, 1.112172060319828489e-11, 1.633930812050378133e-10, 1.192136887343758374e-10, 7.827663510880922493e-10, 1.115771741100903839e-09, 7.118687022705119517e-11, 2.045794234688016187e-09
2.065000000000000000e+03, 7.822248679196328960e-10, 1.206069311818084598e-11, 1.626049610159307235e-10, 1.188818670951676781e-10, 8.031080943257641764e-10, 1.130092657487693488e-09, 7.029928157461566658e-11, 1.824164376089002079e-09
2.066000000000000000e+03, 7.448550325202960125e-10, 1.328192230587704205e-11, 1.616810760188885191e-10, 1.226073503202294668e-10, 7.953997498995771577e-10, 1.135587374109110552e-09, 6.945584041004627783e-11, 1.976334458873597506e-09
2.067000000000000000e+03, 7.785111651856831797e-10, 1.426891582860838131e-11, 1.606675675335577553e-10, 1.243797487864527961e-10, 7.847353553152338880e-10, 1.132282263649586912e-09, 6.757688693588300154e-11, 1.767998173048320835e-09
2.068000000000000000e+03, 8.064310755476812540e-10, 1.555693462014131827e-11, 1.596893404811996812e-10, 1.249143145965459661e-10, 7.874771398998374568e-10, 1.129882974778202838e-09, 6.572826089819612890e-11, 1.817681625406823529e-09
2.069000000000000000e+03, 7.976971515545084972e-10, 1.640672229262821112e-11, 1.588106515652640690e-10, 1.252145286250897418e-10, 7.883178067441678794e-10, 1.136507947015287510e-09, 6.386600079765583471e-11, 1.877680749950565106e-09
2.070000000000000000e+03, 7.444881809101750964e-10, 1.612170968014149679e-11, 1.580471027661150964e-10, 1.229990054580150776e-10, 7.843452881669770615e-10, 1.145384760445900535e-09, 6.200257783654092417e-11, 1.893834316257440836e-09
2.071000000000000000e+03, 7.427791610147398608e-10, 1.146744290579898756e-11, 1.574315793064078676e-10, 1.264473935443277799e-10, 7.978335633001089792e-10, 1.149697507877059303e-09, 6.160853701216680235e-11, 1.981023206132970216e-09
2.072000000000000000e+03, 7.363450800688748307e-10, 9.645734211527755359e-12, 1.568508276130381818e-10, 1.248631110180744280e-10, 7.949005441699642322e-10, 1.149226841530474547e-09, 6.032996629167169674e-11, 2.027332429640932619e-09
2.073000000000000000e+03, 6.717702561708668635e-10, 9.801075013958441422e-12, 1.562172400991717056e-10, 1.244044814874810579e-10, 7.994363503693858330e-10, 1.147017349480048141e-09, 5.908444356334347568e-11, 1.848222329537690091e-09
2.074000000000000000e+03, 7.145211910028466396e-10, 1.093209360173609194e-11, 1.556513588674192486e-10, 1.244344051160138971e-10, 8.093058636214280861e-10, 1.144831941238418028e-09, 5.759187760536297036e-11, 1.848183534500785386e-09
2.075000000000000000e+03, 8.243233345229353392e-10, 1.109826209671784508e-11, 1.551696394801292550e-10, 1.231351000117188384e-10, 8.044798674669017909e-10, 1.158595360714655015e-09, 5.603612477832704731e-11, 2.001426676125576464e-09
2.076000000000000000e+03, 8.121097461510062115e-10, 8.705120129419858294e-12, 1.545337607131818190e-10, 1.284299124697214550e-10, 8.032640639590332021e-10, 1.156861134094186011e-09, 5.558602471522999911e-11, 2.040123216835433681e-09
2.077000000000000000e+03, 7.881134595631470873e-10, 8.074941211183616186e-12, 1.538605833510569056e-10, 1.205783095272963224e-10, 7.970694549139386515e-10, 1.149351922093830950e-09, 5.438110431100843447e-11, 1.973942729267483871e-09
2.078000000000000000e+03, 8.635486096263208402e-10, 9.734656339109326682e-12, 1.531495441524450741e-10, 1.172984461063401611e-10, 7.992385668173533808e-10, 1.153010167513358867e-09, 5.330594420093550184e-11, 2.018493909996613493e-09
2.079000000000000000e+03, 8.459271406978699200e-10, 1.160016018859792215e-11, 1.524696264663999676e-10, 1.156780889975263908e-10, 7.943830216666907781e-10, 1.158001734360131860e-09, 5.228231680865745878e-11, 1.965074519689229476e-09
2.080000000000000000e+03, 7.904423720695590771e-10, 1.184324115356267476e-11, 1.519720208022271028e-10, 1.146502338243536307e-10, 8.054453735754906768e-10, 1.171352767234119611e-09, 5.121808680763474709e-11, 1.804745933501227296e-09
2.081000000000000000e+03, 8.237347479582140240e-10, 8.845478105362229928e-12, 1.516833349193713252e-10, 1.171645143785434592e-10, 8.068791592545358263e-10, 1.168105635894793018e-09, 5.089185088438684679e-11, 1.914728111670900827e-09
2.082000000000000000e+03, 8.864553207854781930e-10, 7.927693112687814729e-12, 1.513406670918470283e-10, 1.160708875638942656e-10, 8.026999168947129895e-10, 1.174561627425420555e-09, 5.001691948762013809e-11, 1.982091739522964965e-09
2.083000000000000000e+03, 8.789015937107489627e-10, 7.628640128322630805e-12, 1.508638938889889193e-10, 1.155336422128318231e-10, 7.996399345949148282e-10, 1.172183770935940410e-09, 4.935310598077514564e-11, 2.121885193115336182e-09
2.084000000000000000e+03, 8.599768950635636443e-10, 7.974323289999737562e-12, 1.503958876962627139e-10, 1.153515867861425851e-10, 7.845315200504672481e-10, 1.166519673528829419e-09, 4.877579816739236214e-11, 2.116953376473432894e-09
