year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, NorESM2-LM, GFDL-ESM4
2.029000000000000000e+03, 6.647759754853538212e-10, 1.751169675707802643e-10, 1.229962030361190489e-10, 1.403309813484052809e-10, 4.951157355586787861e-10
2.030000000000000000e+03, 1.071947501125196038e-09, 1.906544054381869729e-10, 1.053904476777085882e-10, 1.197769976096021170e-10, 5.321712429027040270e-10
2.031000000000000000e+03, 7.422842827449049617e-10, 2.838187224521913948e-10, 1.178055437781302472e-10, 1.529380484582027173e-10, 4.587797444032782063e-10
2.032000000000000000e+03, 1.044565937079208042e-09, 2.216386168041081403e-10, 1.439612566509236890e-10, 1.448258746839667120e-10, 6.173358824288695716e-10
2.033000000000000000e+03, 5.329094107018243182e-10, 2.550928615317335778e-10, 1.497197694313967294e-10, 1.156516219617962775e-10, 6.917739753599173544e-10
2.034000000000000000e+03, 6.888800584893187670e-10, 2.318827143036830068e-10, 1.663701664958947985e-10, 7.638507309661514780e-11, 7.618870401999196175e-10
2.035000000000000000e+03, 6.233548535918816958e-10, 1.843057107533789895e-10, 1.537370030095136488e-10, 1.241235064017865179e-10, 7.355896549322330773e-10
2.036000000000000000e+03, 6.343886557649126518e-10, 2.133343705426548100e-10, 1.188992660775183270e-10, 7.572880739261293747e-11, 5.361829370432905354e-10
2.037000000000000000e+03, 5.748836622443161081e-10, 2.724865257622413361e-10, 1.232116386635913605e-10, 5.712367746498205736e-11, 6.367100464546093706e-10
2.038000000000000000e+03, 7.320710425656576446e-10, 2.975138297140092724e-10, 2.076378559873113043e-10, 1.267224289153964867e-10, 7.713071185134622328e-10
2.039000000000000000e+03, 7.377182402773528628e-10, 2.367366371165321630e-10, 1.353680202788985365e-10, 9.490937350528498812e-11, 7.874412180023328454e-10
2.040000000000000000e+03, 7.807592564026456057e-10, 2.013856447250137592e-10, 1.121355817935013610e-10, 1.025644581114461027e-10, 8.092235171645375517e-10
2.041000000000000000e+03, 9.956571419687191514e-10, 2.287793330005232241e-10, 2.188699574572750170e-10, 1.205214132443276164e-10, 7.854972380230899683e-10
2.042000000000000000e+03, 5.513273369519201317e-10, 3.156161643934540163e-10, 1.780785485316191658e-10, 1.181279817070398933e-10, 6.659875602426080210e-10
2.043000000000000000e+03, 8.272459032458931694e-10, 1.991135091253290048e-10, 1.717771145348183829e-10, 1.265626972857960455e-10, 9.224087743780153365e-10
2.044000000000000000e+03, 6.046581599985484338e-10, 2.124921758431358697e-10, 1.603126009868726783e-10, 1.736368995452155319e-10, 8.300277992056079983e-10
2.045000000000000000e+03, 7.672297416211034220e-10, 2.210904868418824218e-10, 1.927626571659463548e-10, 9.989065088873827320e-11, 7.149866185467142502e-10
2.046000000000000000e+03, 6.822534671976276276e-10, 2.358774733155311457e-10, 1.322234288000967529e-10, 9.550663248029121301e-11, 7.652592475563339054e-10
2.047000000000000000e+03, 6.400388778787338545e-10, 2.013883721119916786e-10, 1.441009932153086996e-10, 9.872808397048120378e-11, 7.003829087244310942e-10
2.048000000000000000e+03, 9.066082880274273232e-10, 2.161262719312951547e-10, 1.521527912132445266e-10, 6.000036464107973766e-11, 1.079093575228836565e-09
2.049000000000000000e+03, 6.126174982575197715e-10, 2.632775242585341500e-10, 1.777244971515761808e-10, 7.738176995904875262e-11, 7.753568854899531163e-10
2.050000000000000000e+03, 6.437617544000147987e-10, 2.556757633419923502e-10, 1.159862158404433656e-10, 1.207427546847521195e-10, 8.272448734035549961e-10
2.051000000000000000e+03, 6.864872546813140362e-10, 2.022434423387421972e-10, 1.477943190437383701e-10, 1.501393347834357100e-10, 8.557016491472330997e-10
2.052000000000000000e+03, 7.222011144010601821e-10, 2.609334469242100192e-10, 2.020858601440086402e-10, 1.471837419070920343e-10, 1.163687041451344827e-09
2.053000000000000000e+03, 8.479714399551288876e-10, 2.089516438218577164e-10, 2.187286506590768970e-10, 7.712226402441376007e-11, 6.545386194148070954e-10
2.054000000000000000e+03, 8.647592379470566740e-10, 2.451936642561207641e-10, 1.395603284512378706e-10, 6.794710907805391319e-11, 9.741148732314474867e-10
2.055000000000000000e+03, 9.545859182774930832e-10, 2.511452090308660638e-10, 1.032435610978956923e-10, 9.148931914971481826e-11, 1.027954168791081240e-09
2.056000000000000000e+03, 6.571030176655802440e-10, 3.140340007890234258e-10, 2.160837737333387997e-10, 1.228521086566296669e-10, 9.015837368157799324e-10
2.057000000000000000e+03, 7.442842510434366941e-10, 2.446835207524374430e-10, 2.600168874645473368e-10, 1.931199504433028516e-10, 8.246526445604668657e-10
2.058000000000000000e+03, 7.316892485173467381e-10, 2.465826529536272109e-10, 2.082818885628240879e-10, 1.424518623425574753e-10, 8.576969521779984047e-10
