year, EC-Earth3-Veg, UKESM1-0-LL, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM
2.078000000000000000e+03, 1.774093199302035141e-09, 7.507835324804927399e-10, 1.103588917620618130e-09, 1.949771892751890437e-09, 1.258639484777065457e-10, 8.732553535636339065e-11, 7.602534599163917297e-10, 7.073007707311840744e-10, 1.370192518748716296e-10
2.079000000000000000e+03, 1.800846937205629060e-09, 7.313841973265041868e-10, 1.297337187795419410e-09, 1.895888329137798587e-09, 1.252296644994912843e-10, 8.712941663074482328e-11, 7.563876589926098496e-10, 6.882084621267609811e-10, 1.361225485436332459e-10
2.080000000000000000e+03, 1.785883556361875181e-09, 7.075081137148126348e-10, 1.147001853498719881e-09, 1.735147834492025204e-09, 1.246881211086916672e-10, 8.657087179165462376e-11, 7.694824369437165564e-10, 6.316973517573257553e-10, 1.354124758550558380e-10
2.081000000000000000e+03, 1.792465613484191241e-09, 6.985329168477064471e-10, 1.286309438141004077e-09, 1.857901304818599175e-09, 1.243826984111656924e-10, 8.573535914277768961e-11, 7.727784596695125577e-10, 6.656759667495394562e-10, 1.349311168565280929e-10
2.082000000000000000e+03, 1.790033422209050558e-09, 7.384604436707994090e-10, 1.343289633445532361e-09, 1.925292566783394605e-09, 1.236630925826208814e-10, 8.507147146373827245e-11, 7.696137683677819191e-10, 7.290866472072642124e-10, 1.341677161402636079e-10
2.083000000000000000e+03, 1.823422367533971632e-09, 6.838828947301821551e-10, 1.214210454370903034e-09, 2.064967712816080239e-09, 1.227681163760051105e-10, 8.440217276197816616e-11, 7.668950472701994257e-10, 7.222708162987003831e-10, 1.331152036568169798e-10
2.084000000000000000e+03, 1.825212782217131615e-09, 7.958532133611397758e-10, 1.300075195459480757e-09, 2.059947800563761872e-09, 1.218977793553419320e-10, 8.378418613421101725e-11, 7.523118278547400079e-10, 7.040646321453269303e-10, 1.321498151627808796e-10
2.085000000000000000e+03, 1.778532008636886917e-09, 8.189044047664665573e-10, 9.769493805247498883e-10, 2.038806532713011338e-09, 1.213355395620328638e-10, 8.334472052198307542e-11, 7.266249214111817222e-10, 6.657749184593376083e-10, 1.311855802801369114e-10
2.086000000000000000e+03, 1.795327762968534696e-09, 6.953408231671107139e-10, 1.350363571656210862e-09, 1.928091673100903560e-09, 1.204173900783834427e-10, 8.272753975131830433e-11, 7.389886946532627685e-10, 7.253232110573336538e-10, 1.303371758127590451e-10
2.087000000000000000e+03, 1.838890665694613557e-09, 6.894708723749094126e-10, 1.082150273165984158e-09, 1.918314967291137948e-09, 1.191200284742491292e-10, 8.243574144571609372e-11, 7.530842922626858034e-10, 6.113617631111066535e-10, 1.294333360613651426e-10
2.088000000000000000e+03, 1.844345071153761760e-09, 6.963825579827968858e-10, 1.328157471733454573e-09, 1.897358788333543676e-09, 1.180329847747821802e-10, 8.185285147865931069e-11, 7.634520417092776159e-10, 7.069583265247500783e-10, 1.283649326300126659e-10
2.089000000000000000e+03, 1.856862147605363411e-09, 7.290620412729845910e-10, 1.251167395056276622e-09, 1.985399071103357176e-09, 1.170783832064618526e-10, 8.089465501472452263e-11, 7.524880858630041541e-10, 7.518383308699722850e-10, 1.276556390607868647e-10
2.090000000000000000e+03, 1.819778621719699964e-09, 7.286265702570888905e-10, 1.285289234476203199e-09, 2.100887346510934137e-09, 1.161616843248007706e-10, 8.015001742465864778e-11, 7.483375732571118120e-10, 7.737424863070205007e-10, 1.270520988381425129e-10
2.091000000000000000e+03, 1.783794301527240341e-09, 7.622605888926799431e-10, 1.353550629141512523e-09, 1.933660493602592457e-09, 1.150727069754752211e-10, 7.950594829465114879e-11, 7.731490824260649011e-10, 7.907009888899380258e-10, 1.259525154313955755e-10
2.092000000000000000e+03, 1.869371904269481889e-09, 7.539362705626596409e-10, 1.276842740541114790e-09, 1.971343301591295068e-09, 1.144992861775406121e-10, 7.874090997510062235e-11, 7.849167075669340898e-10, 8.076439773802891819e-10, 1.251004958651519972e-10
2.093000000000000000e+03, 1.947888442094906515e-09, 6.798655629319290890e-10, 1.144728054680422447e-09, 2.053749797082112742e-09, 1.136885894613203759e-10, 7.807981475263508219e-11, 7.752835050826782897e-10, 8.292183743800600349e-10, 1.242958268701238564e-10
2.094000000000000000e+03, 1.824672368954384849e-09, 7.889887210513733048e-10, 1.266808579692178977e-09, 2.066724161889142376e-09, 1.128920206203955021e-10, 7.758055455636943658e-11, 7.691361432513665357e-10, 8.030697244393446469e-10, 1.232574047202032278e-10
2.095000000000000000e+03, 1.852378519522193379e-09, 7.180410226301107428e-10, 1.339061453560395846e-09, 1.945571788638551955e-09, 1.115246563581990670e-10, 7.697886961474469688e-11, 7.747815024528186618e-10, 7.148796313861360439e-10, 1.224807343315260509e-10
2.096000000000000000e+03, 1.839524825073730082e-09, 7.540631408230751163e-10, 1.344752142756539432e-09, 1.972788341837372264e-09, 1.110855980911562789e-10, 7.672289473650186640e-11, 7.636162094962860574e-10, 6.945538977748683817e-10, 1.218612493858219793e-10
2.097000000000000000e+03, 1.898989068009942483e-09, 7.109967502460157393e-10, 1.325737331432106802e-09, 1.936797024372948348e-09, 1.104174870948710717e-10, 7.617355963843395860e-11, 7.601558181198950652e-10, 7.355459857026948010e-10, 1.210867282911872892e-10
2.098000000000000000e+03, 1.869774970509847100e-09, 7.876776379529789772e-10, 1.390898342684672863e-09, 2.094149133245900464e-09, 1.098460053029356819e-10, 7.581443082387090066e-11, 7.593946125298884373e-10, 7.345517366512257832e-10, 1.204492813056674831e-10
2.099000000000000000e+03, 1.888082307954941633e-09, 7.740032991520800384e-10, 1.407734537313040489e-09, 2.105311935004768364e-09, 1.088357644849919356e-10, 5.399061672214546326e-11, 7.609462706372857661e-10, 6.978740371963188723e-10, 1.196944779442838693e-10
2.100000000000000000e+03, 1.937697326896950152e-09, 8.447247305795615454e-10, 1.317213609119899677e-09, 2.041537403421735135e-09, 1.097213869771169171e-10, 0.000000000000000000e+00, 7.441057045699553381e-10, 7.317730703555911661e-10, 1.141864626887829257e-10
